,above_line,above_line,above_line
,mean,amax,<lambda_0>
sequence_length,,,
1,46.44887850467289,763.1099999999999,60.52000000000004
2,144.57566869300913,1321.01,194.89250000000004
3,240.09976377952756,1586.38,294.33750000000003
4,339.5316666666667,1634.0900000000001,472.70500000000004
5,418.7529310344828,1177.7400000000002,526.9325
6,562.8978787878787,1531.46,776.3700000000001
7,690.8125,1238.8399999999997,794.9499999999999
8,719.0225,1601.2900000000002,951.6825
9,867.965,1098.5,943.9024999999998
10,660.49,855.4,757.9449999999999
12,615.4099999999999,615.4099999999999,615.4099999999999
16,1088.6599999999999,1088.6599999999999,1088.6599999999999
