,above_line,above_line,above_line
,mean,amax,<lambda_0>
sequence_length,,,
1,48.65964017991004,1092.34,55.71250000000004
2,144.63674603174601,1024.6799999999998,182.14749999999998
3,223.95330472103007,1524.04,290.40999999999997
4,313.83256,1381.0,367.6099999999999
5,517.6926666666666,1584.2,648.94
6,374.71607142857147,832.9600000000003,492.7
7,484.47700000000003,1042.19,462.21000000000004
8,494.26,849.1899999999999,527.9000000000001
9,715.98,1075.7,809.0225
10,475.6100000000001,475.6100000000001,475.6100000000001
11,990.615,1068.45,1029.5325
13,776.56,975.6200000000001,876.09
15,850.9999999999999,850.9999999999999,850.9999999999999
