,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,123840.36,96.44887850467289,813.1099999999999,96.44887850467289,813.1099999999999,1284
1,2,160930.79,244.57566869300913,1421.01,122.28783434650457,1284.68,658
2,3,99085.34,390.09976377952756,1736.38,130.03325459317585,893.2899999999998,254
3,4,51795.04,539.5316666666666,1834.0900000000001,134.88291666666666,685.3599999999999,96
4,5,38787.67,668.7529310344827,1427.7400000000002,133.75058620689657,462.5099999999999,58
5,6,28475.629999999997,862.8978787878787,1831.4599999999998,143.81631313131314,634.12,33
6,7,12489.75,1040.8125,1588.8399999999997,148.6875,455.5899999999999,12
7,8,8952.18,1119.0225,2001.29,139.8778125,437.96,8
8,9,5271.860000000001,1317.9650000000001,1548.5,146.44055555555553,318.54999999999995,4
9,10,2320.98,1160.49,1355.4,116.049,268.8900000000001,2
10,12,1215.4099999999999,1215.4099999999999,1215.4099999999999,101.28416666666665,200.20000000000005,1
11,16,1888.6599999999999,1888.6599999999999,1888.6599999999999,118.04124999999999,228.14,1
