,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,338.16,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-466.09,446.76,1803.48,158.91000000000008,1496.3000000000002,1803.48,-307.17999999999984
2,2022-01-01 00:30:00,1801.63,-305.33,517.9,1962.39,-160.76,1496.3000000000002,1496.3000000000002,0.0
3,2022-01-01 00:45:00,1824.41,-328.11,594.35,1801.63,22.779999999999973,1496.3000000000002,1496.3000000000002,0.0
4,2022-01-01 01:00:00,1661.57,-165.26,632.86,1824.41,-162.84000000000015,1496.31,1496.3000000000002,0.009999999999763531
5,2022-01-01 01:15:00,1537.71,-41.39,642.5,1661.57,-123.8599999999999,1496.32,1496.31,0.009999999999990905
6,2022-01-01 01:30:00,1369.23,117.14,611.08,1537.71,-168.48000000000002,1486.3700000000001,1496.32,-9.949999999999818
7,2022-01-01 01:45:00,1279.94,206.43,555.71,1369.23,-89.28999999999996,1486.3700000000001,1486.3700000000001,0.0
8,2022-01-01 02:00:00,1295.7,190.67,504.56,1279.94,15.759999999999991,1486.3700000000001,1486.3700000000001,0.0
9,2022-01-01 02:15:00,1362.66,123.71,471.38,1295.7,66.96000000000004,1486.3700000000001,1486.3700000000001,0.0
10,2022-01-01 02:30:00,1487.22,-0.85,471.58,1362.66,124.55999999999995,1486.3700000000001,1486.3700000000001,0.0
11,2022-01-01 02:45:00,1557.98,-71.61,488.27,1487.22,70.75999999999999,1486.3700000000001,1486.3700000000001,0.0
12,2022-01-01 03:00:00,1312.72,173.65,441.69,1557.98,-245.26,1486.3700000000001,1486.3700000000001,0.0
13,2022-01-01 03:15:00,1447.08,39.29,431.15,1312.72,134.3599999999999,1486.37,1486.3700000000001,-2.2737367544323206e-13
14,2022-01-01 03:30:00,1512.77,-26.4,437.3,1447.08,65.69000000000005,1486.37,1486.37,0.0
15,2022-01-01 03:45:00,1464.49,21.88,431.43,1512.77,-48.27999999999997,1486.3700000000001,1486.37,2.2737367544323206e-13
16,2022-01-01 04:00:00,1431.2,55.17,416.63,1464.49,-33.289999999999964,1486.3700000000001,1486.3700000000001,0.0
17,2022-01-01 04:15:00,1372.76,113.61,386.16,1431.2,-58.440000000000055,1486.37,1486.3700000000001,-2.2737367544323206e-13
18,2022-01-01 04:30:00,1380.47,105.9,357.75,1372.76,7.710000000000036,1486.3700000000001,1486.37,2.2737367544323206e-13
19,2022-01-01 04:45:00,1308.22,178.15,309.96,1380.47,-72.25,1486.3700000000001,1486.3700000000001,0.0
20,2022-01-01 05:00:00,1257.84,228.53,248.66,1308.22,-50.38000000000011,1486.37,1486.3700000000001,-2.2737367544323206e-13
21,2022-01-01 05:15:00,1227.63,258.74,179.26,1257.84,-30.20999999999981,1486.3700000000001,1486.37,2.2737367544323206e-13
22,2022-01-01 05:30:00,1209.37,277.0,104.96,1227.63,-18.26000000000022,1486.37,1486.3700000000001,-2.2737367544323206e-13
23,2022-01-01 05:45:00,1382.18,104.19,77.01,1209.37,172.81000000000017,1486.3700000000001,1486.37,2.2737367544323206e-13
24,2022-01-01 06:00:00,1580.7,-94.33,98.99,1382.18,198.51999999999998,1486.3700000000001,1486.3700000000001,0.0
25,2022-01-01 06:15:00,1553.36,-66.99,114.6,1580.7,-27.340000000000146,1486.37,1486.3700000000001,-2.2737367544323206e-13
26,2022-01-01 06:30:00,1481.21,5.16,113.22,1553.36,-72.14999999999986,1486.3700000000001,1486.37,2.2737367544323206e-13
27,2022-01-01 06:45:00,1450.71,35.66,103.65,1481.21,-30.5,1486.3700000000001,1486.3700000000001,0.0
28,2022-01-01 07:00:00,1390.74,95.63,78.0,1450.71,-59.97000000000003,1486.37,1486.3700000000001,-2.2737367544323206e-13
29,2022-01-01 07:15:00,1463.81,22.56,71.95,1390.74,73.06999999999994,1486.37,1486.37,0.0
30,2022-01-01 07:30:00,1486.0,0.38,71.85,1463.81,22.190000000000055,1486.38,1486.37,0.010000000000218279
31,2022-01-01 07:45:00,1506.51,-20.13,76.54,1486.0,20.50999999999999,1486.3799999999999,1486.38,-2.2737367544323206e-13
32,2022-01-01 08:00:00,1423.47,62.91,59.67,1506.51,-83.03999999999996,1486.38,1486.3799999999999,2.2737367544323206e-13
33,2022-01-01 08:15:00,1429.36,57.02,44.38,1423.47,5.889999999999873,1486.3799999999999,1486.38,-2.2737367544323206e-13
34,2022-01-01 08:30:00,1447.02,39.36,33.82,1429.36,17.660000000000082,1486.3799999999999,1486.3799999999999,0.0
35,2022-01-01 08:45:00,1524.53,0.0,33.82,1447.02,77.50999999999999,1524.53,1486.3799999999999,38.15000000000009
36,2022-01-01 09:00:00,1670.07,0.0,33.82,1524.53,145.53999999999996,1670.07,1524.53,145.53999999999996
37,2022-01-01 09:15:00,1761.26,-9.73,36.09,1670.07,91.19000000000005,1751.53,1670.07,81.46000000000004
38,2022-01-01 09:30:00,1743.06,8.48,33.82,1761.26,-18.200000000000045,1751.54,1751.53,0.009999999999990905
39,2022-01-01 09:45:00,1864.51,0.0,33.82,1743.06,121.45000000000005,1864.51,1751.54,112.97000000000003
40,2022-01-01 10:00:00,1956.11,0.01,33.82,1864.51,91.59999999999991,1956.12,1864.51,91.6099999999999
41,2022-01-01 10:15:00,2000.96,0.01,33.82,1956.11,44.850000000000136,2000.97,1956.12,44.850000000000136
42,2022-01-01 10:30:00,2046.81,-5.04,34.99,2000.96,45.84999999999991,2041.77,2000.97,40.799999999999955
43,2022-01-01 10:45:00,2090.52,-47.54,46.07,2046.81,43.710000000000036,2042.98,2041.77,1.2100000000000364
44,2022-01-01 11:00:00,2141.58,-97.37,68.76,2090.52,51.059999999999945,2044.21,2042.98,1.2300000000000182
45,2022-01-01 11:15:00,2160.66,-114.82,95.51,2141.58,19.079999999999927,2045.84,2044.21,1.6299999999998818
46,2022-01-01 11:30:00,2162.01,-115.32,122.38,2160.66,1.3500000000003638,2046.6900000000003,2045.84,0.8500000000003638
