,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,338.16,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-108.91,363.54,1803.48,158.91000000000008,1853.48,1803.48,50.0
2,2022-01-01 00:30:00,1801.63,51.85,349.63,1962.39,-160.76,1853.48,1853.48,0.0
3,2022-01-01 00:45:00,1824.41,29.07,341.83,1801.63,22.779999999999973,1853.48,1853.48,0.0
4,2022-01-01 01:00:00,1661.57,191.91,290.35,1824.41,-162.84000000000015,1853.48,1853.48,0.0
5,2022-01-01 01:15:00,1537.71,315.77,205.65,1661.57,-123.8599999999999,1853.48,1853.48,0.0
6,2022-01-01 01:30:00,1369.23,484.25,75.75,1537.71,-168.48000000000002,1853.48,1853.48,0.0
7,2022-01-01 01:45:00,1279.94,156.33,33.82,1369.23,-89.28999999999996,1436.27,1853.48,-417.21000000000004
8,2022-01-01 02:00:00,1295.7,0.01,33.82,1279.94,15.759999999999991,1295.71,1436.27,-140.55999999999995
9,2022-01-01 02:15:00,1362.66,-16.95,37.77,1295.7,66.96000000000004,1345.71,1295.71,50.0
10,2022-01-01 02:30:00,1487.22,-91.51,59.09,1362.66,124.55999999999995,1395.71,1345.71,50.0
11,2022-01-01 02:45:00,1557.98,-112.27,85.25,1487.22,70.75999999999999,1445.71,1395.71,50.0
12,2022-01-01 03:00:00,1312.72,132.99,49.58,1557.98,-245.26,1445.71,1445.71,0.0
13,2022-01-01 03:15:00,1447.08,0.0,49.58,1312.72,134.3599999999999,1447.08,1445.71,1.3699999999998909
14,2022-01-01 03:30:00,1512.77,-15.69,53.24,1447.08,65.69000000000005,1497.08,1447.08,50.0
15,2022-01-01 03:45:00,1464.49,32.59,44.5,1512.77,-48.27999999999997,1497.08,1497.08,0.0
16,2022-01-01 04:00:00,1431.2,15.88,40.24,1464.49,-33.289999999999964,1447.0800000000002,1497.08,-49.99999999999977
17,2022-01-01 04:15:00,1372.76,23.95,33.82,1431.2,-58.440000000000055,1396.71,1447.0800000000002,-50.37000000000012
18,2022-01-01 04:30:00,1380.47,0.0,33.82,1372.76,7.710000000000036,1380.47,1396.71,-16.24000000000001
19,2022-01-01 04:45:00,1308.22,0.01,33.82,1380.47,-72.25,1308.23,1380.47,-72.24000000000001
20,2022-01-01 05:00:00,1257.84,0.01,33.82,1308.22,-50.38000000000011,1257.85,1308.23,-50.38000000000011
21,2022-01-01 05:15:00,1227.63,0.0,33.82,1257.84,-30.20999999999981,1227.63,1257.85,-30.2199999999998
22,2022-01-01 05:30:00,1209.37,0.0,33.82,1227.63,-18.26000000000022,1209.37,1227.63,-18.26000000000022
23,2022-01-01 05:45:00,1382.18,-122.81,62.43,1209.37,172.81000000000017,1259.3700000000001,1209.37,50.00000000000023
24,2022-01-01 06:00:00,1580.7,-271.33,125.65,1382.18,198.51999999999998,1309.3700000000001,1259.3700000000001,50.0
25,2022-01-01 06:15:00,1553.36,-193.99,170.85,1580.7,-27.340000000000146,1359.37,1309.3700000000001,49.99999999999977
26,2022-01-01 06:30:00,1481.21,-71.84,187.59,1553.36,-72.14999999999986,1409.3700000000001,1359.37,50.00000000000023
27,2022-01-01 06:45:00,1450.71,0.0,187.59,1481.21,-30.5,1450.71,1409.3700000000001,41.33999999999992
28,2022-01-01 07:00:00,1390.74,59.97,171.5,1450.71,-59.97000000000003,1450.71,1450.71,0.0
29,2022-01-01 07:15:00,1463.81,0.0,171.5,1390.74,73.06999999999994,1463.81,1450.71,13.099999999999909
30,2022-01-01 07:30:00,1486.0,0.0,171.5,1463.81,22.190000000000055,1486.0,1463.81,22.190000000000055
31,2022-01-01 07:45:00,1506.51,0.0,171.5,1486.0,20.50999999999999,1506.51,1486.0,20.50999999999999
32,2022-01-01 08:00:00,1423.47,83.04,149.23,1506.51,-83.03999999999996,1506.51,1506.51,0.0
