,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,338.16,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-186.96,381.72,1803.48,158.91000000000008,1775.43,1803.48,-28.049999999999955
2,2022-01-01 00:30:00,1801.63,-76.2,399.48,1962.39,-160.76,1725.43,1775.43,-50.0
3,2022-01-01 00:45:00,1824.41,-148.98,434.19,1801.63,22.779999999999973,1675.43,1725.43,-50.0
4,2022-01-01 01:00:00,1661.57,-36.14,442.61,1824.41,-162.84000000000015,1625.4299999999998,1675.43,-50.00000000000023
5,2022-01-01 01:15:00,1537.71,37.72,432.49,1661.57,-123.8599999999999,1575.43,1625.4299999999998,-49.99999999999977
6,2022-01-01 01:30:00,1369.23,156.2,390.59,1537.71,-168.48000000000002,1525.43,1575.43,-50.0
7,2022-01-01 01:45:00,1279.94,195.49,338.15,1369.23,-89.28999999999996,1475.43,1525.43,-50.0
8,2022-01-01 02:00:00,1295.7,129.73,303.35,1279.94,15.759999999999991,1425.43,1475.43,-50.0
9,2022-01-01 02:15:00,1362.66,12.77,299.93,1295.7,66.96000000000004,1375.43,1425.43,-50.0
10,2022-01-01 02:30:00,1487.22,-124.42,328.92,1362.66,124.55999999999995,1362.8,1375.43,-12.63000000000011
11,2022-01-01 02:45:00,1557.98,-145.18,362.75,1487.22,70.75999999999999,1412.8,1362.8,50.0
12,2022-01-01 03:00:00,1312.72,91.67,338.16,1557.98,-245.26,1404.39,1412.8,-8.409999999999854
13,2022-01-01 03:15:00,1447.08,7.29,336.2,1312.72,134.3599999999999,1454.37,1404.39,49.97999999999979
14,2022-01-01 03:30:00,1512.77,-8.41,338.16,1447.08,65.69000000000005,1504.36,1454.37,49.99000000000001
15,2022-01-01 03:45:00,1464.49,0.0,338.16,1512.77,-48.27999999999997,1464.49,1504.36,-39.86999999999989
16,2022-01-01 04:00:00,1431.2,0.0,338.16,1464.49,-33.289999999999964,1431.2,1464.49,-33.289999999999964
17,2022-01-01 04:15:00,1372.76,19.5,332.93,1431.2,-58.440000000000055,1392.26,1431.2,-38.940000000000055
18,2022-01-01 04:30:00,1380.47,-22.45,338.16,1372.76,7.710000000000036,1358.02,1392.26,-34.24000000000001
19,2022-01-01 04:45:00,1308.22,-0.2,338.21,1380.47,-72.25,1308.02,1358.02,-50.0
20,2022-01-01 05:00:00,1257.84,0.18,338.16,1308.22,-50.38000000000011,1258.02,1308.02,-50.0
21,2022-01-01 05:15:00,1227.63,41.61,327.0,1257.84,-30.20999999999981,1269.24,1258.02,11.220000000000027
22,2022-01-01 05:30:00,1209.37,109.87,297.53,1227.63,-18.26000000000022,1319.2399999999998,1269.24,49.99999999999977
23,2022-01-01 05:45:00,1382.18,-12.94,300.54,1209.37,172.81000000000017,1369.24,1319.2399999999998,50.00000000000023
24,2022-01-01 06:00:00,1580.7,-161.46,338.16,1382.18,198.51999999999998,1419.24,1369.24,50.0
25,2022-01-01 06:15:00,1553.36,-84.12,357.76,1580.7,-27.340000000000146,1469.2399999999998,1419.24,49.99999999999977
26,2022-01-01 06:30:00,1481.21,34.03,348.63,1553.36,-72.14999999999986,1515.24,1469.2399999999998,46.00000000000023
27,2022-01-01 06:45:00,1450.71,14.53,344.73,1481.21,-30.5,1465.24,1515.24,-50.0
28,2022-01-01 07:00:00,1390.74,24.5,338.16,1450.71,-59.97000000000003,1415.24,1465.24,-50.0
29,2022-01-01 07:15:00,1463.81,0.0,338.16,1390.74,73.06999999999994,1463.81,1415.24,48.569999999999936
30,2022-01-01 07:30:00,1486.0,-46.86,349.08,1463.81,22.190000000000055,1439.14,1463.81,-24.669999999999845
31,2022-01-01 07:45:00,1506.51,-117.37,376.43,1486.0,20.50999999999999,1389.1399999999999,1439.14,-50.00000000000023
32,2022-01-01 08:00:00,1423.47,15.67,372.23,1506.51,-83.03999999999996,1439.14,1389.1399999999999,50.00000000000023
33,2022-01-01 08:15:00,1429.36,59.78,356.19,1423.47,5.889999999999873,1489.1399999999999,1439.14,49.99999999999977
34,2022-01-01 08:30:00,1447.02,92.12,331.48,1429.36,17.660000000000082,1539.1399999999999,1489.1399999999999,50.0
35,2022-01-01 08:45:00,1524.53,64.61,314.15,1447.02,77.50999999999999,1589.1399999999999,1539.1399999999999,50.0
36,2022-01-01 09:00:00,1670.07,-30.93,321.36,1524.53,145.53999999999996,1639.1399999999999,1589.1399999999999,50.0
37,2022-01-01 09:15:00,1761.26,-72.1,338.16,1670.07,91.19000000000005,1689.16,1639.1399999999999,50.02000000000021
38,2022-01-01 09:30:00,1743.06,14.42,334.29,1761.26,-18.200000000000045,1757.48,1689.16,68.31999999999994
39,2022-01-01 09:45:00,1864.51,19.5,329.06,1743.06,121.45000000000005,1884.01,1757.48,126.52999999999997
40,2022-01-01 10:00:00,1956.11,-22.1,334.21,1864.51,91.59999999999991,1934.01,1884.01,50.0
41,2022-01-01 10:15:00,2000.96,-16.95,338.16,1956.11,44.850000000000136,1984.01,1934.01,50.0
42,2022-01-01 10:30:00,2046.81,-12.8,341.14,2000.96,45.84999999999991,2034.01,1984.01,50.0
43,2022-01-01 10:45:00,2090.52,-6.51,342.66,2046.81,43.710000000000036,2084.0099999999998,2034.01,49.99999999999977
44,2022-01-01 11:00:00,2141.58,-7.57,344.42,2090.52,51.059999999999945,2134.0099999999998,2084.0099999999998,50.0
45,2022-01-01 11:15:00,2160.66,23.34,338.16,2141.58,19.079999999999927,2184.0,2134.0099999999998,49.99000000000024
46,2022-01-01 11:30:00,2162.01,0.0,338.16,2160.66,1.3500000000003638,2162.01,2184.0,-21.98999999999978
47,2022-01-01 11:45:00,2162.38,0.0,338.16,2162.01,0.36999999999989086,2162.38,2162.01,0.36999999999989086
48,2022-01-01 12:00:00,2161.85,0.0,338.16,2162.38,-0.5300000000002001,2161.85,2162.38,-0.5300000000002001
49,2022-01-01 12:15:00,2164.84,0.0,338.16,2161.85,2.9900000000002365,2164.84,2161.85,2.9900000000002365
50,2022-01-01 12:30:00,2162.89,0.0,338.16,2164.84,-1.9500000000002728,2162.89,2164.84,-1.9500000000002728
51,2022-01-01 12:45:00,2155.55,0.0,338.16,2162.89,-7.339999999999691,2155.55,2162.89,-7.339999999999691
52,2022-01-01 13:00:00,2161.52,0.0,338.16,2155.55,5.9699999999998,2161.52,2155.55,5.9699999999998
53,2022-01-01 13:15:00,2164.77,0.0,338.16,2161.52,3.25,2164.77,2161.52,3.25
54,2022-01-01 13:30:00,2167.06,0.0,338.16,2164.77,2.2899999999999636,2167.06,2164.77,2.2899999999999636
