,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,112.72,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-160.76,150.18,1803.48,158.91000000000008,1801.63,1803.48,-1.849999999999909
2,2022-01-01 00:30:00,1801.63,0.0,150.18,1962.39,-160.76,1801.63,1801.63,0.0
3,2022-01-01 00:45:00,1824.41,-218.73,201.14,1801.63,22.779999999999973,1605.68,1801.63,-195.95000000000005
4,2022-01-01 01:00:00,1661.57,-55.91,214.17,1824.41,-162.84000000000015,1605.6599999999999,1605.68,-0.020000000000209184
5,2022-01-01 01:15:00,1537.71,0.01,214.17,1661.57,-123.8599999999999,1537.72,1605.6599999999999,-67.93999999999983
6,2022-01-01 01:30:00,1369.23,39.49,203.58,1537.71,-168.48000000000002,1408.72,1537.72,-129.0
7,2022-01-01 01:45:00,1279.94,128.78,169.04,1369.23,-89.28999999999996,1408.72,1408.72,0.0
8,2022-01-01 02:00:00,1295.7,113.02,138.72,1279.94,15.759999999999991,1408.72,1408.72,0.0
9,2022-01-01 02:15:00,1362.66,46.06,126.36,1295.7,66.96000000000004,1408.72,1408.72,0.0
10,2022-01-01 02:30:00,1487.22,-78.5,144.65,1362.66,124.55999999999995,1408.72,1408.72,0.0
11,2022-01-01 02:45:00,1557.98,-149.26,179.43,1487.22,70.75999999999999,1408.72,1408.72,0.0
12,2022-01-01 03:00:00,1312.72,96.0,153.68,1557.98,-245.26,1408.72,1408.72,0.0
13,2022-01-01 03:15:00,1447.08,-38.36,162.62,1312.72,134.3599999999999,1408.72,1408.72,0.0
14,2022-01-01 03:30:00,1512.77,-104.05,186.86,1447.08,65.69000000000005,1408.72,1408.72,0.0
15,2022-01-01 03:45:00,1464.49,-55.77,199.85,1512.77,-48.27999999999997,1408.72,1408.72,0.0
16,2022-01-01 04:00:00,1431.2,-22.48,205.09,1464.49,-33.289999999999964,1408.72,1408.72,0.0
17,2022-01-01 04:15:00,1372.76,35.96,195.44,1431.2,-58.440000000000055,1408.72,1408.72,0.0
18,2022-01-01 04:30:00,1380.47,28.24,187.86,1372.76,7.710000000000036,1408.71,1408.72,-0.009999999999990905
19,2022-01-01 04:45:00,1308.22,100.49,160.9,1380.47,-72.25,1408.71,1408.71,0.0
20,2022-01-01 05:00:00,1257.84,150.87,120.43,1308.22,-50.38000000000011,1408.71,1408.71,0.0
21,2022-01-01 05:15:00,1227.63,181.08,71.86,1257.84,-30.20999999999981,1408.71,1408.71,0.0
22,2022-01-01 05:30:00,1209.37,199.34,18.39,1227.63,-18.26000000000022,1408.7099999999998,1408.71,-2.2737367544323206e-13
23,2022-01-01 05:45:00,1382.18,26.54,11.27,1209.37,172.81000000000017,1408.72,1408.7099999999998,0.010000000000218279
24,2022-01-01 06:00:00,1580.7,-171.98,51.34,1382.18,198.51999999999998,1408.72,1408.72,0.0
25,2022-01-01 06:15:00,1553.36,-144.64,85.04,1580.7,-27.340000000000146,1408.7199999999998,1408.72,-2.2737367544323206e-13
26,2022-01-01 06:30:00,1481.21,-72.49,101.93,1553.36,-72.14999999999986,1408.72,1408.7199999999998,2.2737367544323206e-13
27,2022-01-01 06:45:00,1450.71,-41.99,111.71,1481.21,-30.5,1408.72,1408.72,0.0
28,2022-01-01 07:00:00,1390.74,17.98,106.89,1450.71,-59.97000000000003,1408.72,1408.72,0.0
29,2022-01-01 07:15:00,1463.81,-0.41,106.99,1390.74,73.06999999999994,1463.3999999999999,1408.72,54.679999999999836
30,2022-01-01 07:30:00,1486.0,-22.6,112.26,1463.81,22.190000000000055,1463.4,1463.3999999999999,2.2737367544323206e-13
