,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,112.72,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-183.74,155.53,1803.48,158.91000000000008,1778.65,1803.48,-24.829999999999927
2,2022-01-01 00:30:00,1801.63,-72.98,172.53,1962.39,-160.76,1728.65,1778.65,-50.0
3,2022-01-01 00:45:00,1824.41,-145.76,206.49,1801.63,22.779999999999973,1678.65,1728.65,-50.0
4,2022-01-01 01:00:00,1661.57,-32.92,214.16,1824.41,-162.84000000000015,1628.6499999999999,1678.65,-50.00000000000023
5,2022-01-01 01:15:00,1537.71,40.94,203.18,1661.57,-123.8599999999999,1578.65,1628.6499999999999,-49.99999999999977
6,2022-01-01 01:30:00,1369.23,159.42,160.42,1537.71,-168.48000000000002,1528.65,1578.65,-50.0
7,2022-01-01 01:45:00,1279.94,198.71,107.12,1369.23,-89.28999999999996,1478.65,1528.65,-50.0
8,2022-01-01 02:00:00,1295.7,132.95,71.46,1279.94,15.759999999999991,1428.65,1478.65,-50.0
9,2022-01-01 02:15:00,1362.66,74.56,51.46,1295.7,66.96000000000004,1437.22,1428.65,8.569999999999936
10,2022-01-01 02:30:00,1487.22,0.0,51.46,1362.66,124.55999999999995,1487.22,1437.22,50.0
11,2022-01-01 02:45:00,1557.98,-70.76,67.95,1487.22,70.75999999999999,1487.22,1487.22,0.0
12,2022-01-01 03:00:00,1312.72,124.5,34.55,1557.98,-245.26,1437.22,1487.22,-50.0
13,2022-01-01 03:15:00,1447.08,15.69,30.34,1312.72,134.3599999999999,1462.77,1437.22,25.549999999999955
14,2022-01-01 03:30:00,1512.77,0.0,30.34,1447.08,65.69000000000005,1512.77,1462.77,50.0
15,2022-01-01 03:45:00,1464.49,0.0,30.34,1512.77,-48.27999999999997,1464.49,1512.77,-48.27999999999997
16,2022-01-01 04:00:00,1431.2,0.0,30.34,1464.49,-33.289999999999964,1431.2,1464.49,-33.289999999999964
17,2022-01-01 04:15:00,1372.76,8.44,28.08,1431.2,-58.440000000000055,1381.2,1431.2,-50.0
18,2022-01-01 04:30:00,1380.47,-49.27,39.56,1372.76,7.710000000000036,1331.2,1381.2,-50.0
19,2022-01-01 04:45:00,1308.22,0.0,39.56,1380.47,-72.25,1308.22,1331.2,-22.980000000000018
20,2022-01-01 05:00:00,1257.84,0.38,39.46,1308.22,-50.38000000000011,1258.22,1308.22,-50.0
21,2022-01-01 05:15:00,1227.63,30.59,31.25,1257.84,-30.20999999999981,1258.22,1258.22,0.0
22,2022-01-01 05:30:00,1209.37,67.27,13.2,1227.63,-18.26000000000022,1276.6399999999999,1258.22,18.419999999999845
23,2022-01-01 05:45:00,1382.18,-55.54,26.14,1209.37,172.81000000000017,1326.64,1276.6399999999999,50.00000000000023
24,2022-01-01 06:00:00,1580.7,-225.44,78.67,1382.18,198.51999999999998,1355.26,1326.64,28.61999999999989
25,2022-01-01 06:15:00,1553.36,-152.65,114.24,1580.7,-27.340000000000146,1400.7099999999998,1355.26,45.44999999999982
26,2022-01-01 06:30:00,1481.21,-30.5,121.35,1553.36,-72.14999999999986,1450.71,1400.7099999999998,50.00000000000023
27,2022-01-01 06:45:00,1450.71,0.0,121.35,1481.21,-30.5,1450.71,1450.71,0.0
28,2022-01-01 07:00:00,1390.74,23.07,115.16,1450.71,-59.97000000000003,1413.81,1450.71,-36.90000000000009
29,2022-01-01 07:15:00,1463.81,0.0,115.16,1390.74,73.06999999999994,1463.81,1413.81,50.0
