,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-01-01 00:00:00,1803.48,0.0,112.72,1803.48,0.0,1803.48,1803.48,0.0
1,2022-01-01 00:15:00,1962.39,-183.74,155.53,1803.48,158.91000000000008,1778.65,1803.48,-24.829999999999927
2,2022-01-01 00:30:00,1801.63,-72.98,172.53,1962.39,-160.76,1728.65,1778.65,-50.0
3,2022-01-01 00:45:00,1824.41,-145.76,206.49,1801.63,22.779999999999973,1678.65,1728.65,-50.0
4,2022-01-01 01:00:00,1661.57,-32.92,214.16,1824.41,-162.84000000000015,1628.6499999999999,1678.65,-50.00000000000023
5,2022-01-01 01:15:00,1537.71,40.94,203.18,1661.57,-123.8599999999999,1578.65,1628.6499999999999,-49.99999999999977
6,2022-01-01 01:30:00,1369.23,159.42,160.42,1537.71,-168.48000000000002,1528.65,1578.65,-50.0
7,2022-01-01 01:45:00,1279.94,198.71,107.12,1369.23,-89.28999999999996,1478.65,1528.65,-50.0
8,2022-01-01 02:00:00,1295.7,132.95,71.46,1279.94,15.759999999999991,1428.65,1478.65,-50.0
9,2022-01-01 02:15:00,1362.66,15.99,67.17,1295.7,66.96000000000004,1378.65,1428.65,-50.0
10,2022-01-01 02:30:00,1487.22,-140.12,99.82,1362.66,124.55999999999995,1347.1,1378.65,-31.550000000000182
11,2022-01-01 02:45:00,1557.98,-160.88,137.31,1487.22,70.75999999999999,1397.1,1347.1,50.0
12,2022-01-01 03:00:00,1312.72,91.67,112.72,1557.98,-245.26,1404.39,1397.1,7.290000000000191
13,2022-01-01 03:15:00,1447.08,7.29,110.76,1312.72,134.3599999999999,1454.37,1404.39,49.97999999999979
14,2022-01-01 03:30:00,1512.77,-8.41,112.72,1447.08,65.69000000000005,1504.36,1454.37,49.99000000000001
15,2022-01-01 03:45:00,1464.49,0.0,112.72,1512.77,-48.27999999999997,1464.49,1504.36,-39.86999999999989
16,2022-01-01 04:00:00,1431.2,0.0,112.72,1464.49,-33.289999999999964,1431.2,1464.49,-33.289999999999964
17,2022-01-01 04:15:00,1372.76,19.5,107.49,1431.2,-58.440000000000055,1392.26,1431.2,-38.940000000000055
18,2022-01-01 04:30:00,1380.47,-22.45,112.72,1372.76,7.710000000000036,1358.02,1392.26,-34.24000000000001
19,2022-01-01 04:45:00,1308.22,-0.2,112.77,1380.47,-72.25,1308.02,1358.02,-50.0
20,2022-01-01 05:00:00,1257.84,0.18,112.72,1308.22,-50.38000000000011,1258.02,1308.02,-50.0
21,2022-01-01 05:15:00,1227.63,41.61,101.56,1257.84,-30.20999999999981,1269.24,1258.02,11.220000000000027
22,2022-01-01 05:30:00,1209.37,109.87,72.09,1227.63,-18.26000000000022,1319.2399999999998,1269.24,49.99999999999977
23,2022-01-01 05:45:00,1382.18,-12.94,75.1,1209.37,172.81000000000017,1369.24,1319.2399999999998,50.00000000000023
24,2022-01-01 06:00:00,1580.7,-161.46,112.72,1382.18,198.51999999999998,1419.24,1369.24,50.0
25,2022-01-01 06:15:00,1553.36,-84.12,132.32,1580.7,-27.340000000000146,1469.2399999999998,1419.24,49.99999999999977
26,2022-01-01 06:30:00,1481.21,38.03,122.12,1553.36,-72.14999999999986,1519.24,1469.2399999999998,50.00000000000023
27,2022-01-01 06:45:00,1450.71,18.53,117.15,1481.21,-30.5,1469.24,1519.24,-50.0
28,2022-01-01 07:00:00,1390.74,28.5,109.5,1450.71,-59.97000000000003,1419.24,1469.24,-50.0
29,2022-01-01 07:15:00,1463.81,-13.82,112.72,1390.74,73.06999999999994,1449.99,1419.24,30.75
