,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-06-19 00:00:00,2147.59,0.0,338.16,2147.59,0.0,2147.59,2147.59,0.0
1,2022-06-19 00:15:00,2154.05,-6.46,339.67,2147.59,6.460000000000036,2147.59,2147.59,0.0
2,2022-06-19 00:30:00,2137.01,10.58,336.83,2154.05,-17.039999999999964,2147.59,2147.59,0.0
3,2022-06-19 00:45:00,2028.94,118.65,305.0,2137.01,-108.07000000000016,2147.59,2147.59,0.0
4,2022-06-19 01:00:00,2057.9,68.63,286.59,2028.94,28.960000000000036,2126.53,2147.59,-21.059999999999945
5,2022-06-19 01:15:00,2126.53,0.0,286.59,2057.9,68.63000000000011,2126.53,2126.53,0.0
6,2022-06-19 01:30:00,2167.35,-40.82,296.1,2126.53,40.81999999999971,2126.5299999999997,2126.53,-4.547473508864641e-13
7,2022-06-19 01:45:00,2157.38,-30.85,303.29,2167.35,-9.9699999999998,2126.53,2126.5299999999997,4.547473508864641e-13
8,2022-06-19 02:00:00,2151.48,-24.95,309.1,2157.38,-5.900000000000091,2126.53,2126.53,0.0
9,2022-06-19 02:15:00,2146.9,-20.37,313.85,2151.48,-4.579999999999927,2126.53,2126.53,0.0
10,2022-06-19 02:30:00,2130.32,-3.79,314.73,2146.9,-16.579999999999927,2126.53,2126.53,0.0
11,2022-06-19 02:45:00,1852.61,206.36,259.38,2130.32,-277.71000000000026,2058.97,2126.53,-67.5600000000004
12,2022-06-19 03:00:00,1627.87,324.92,172.22,1852.61,-224.74,1952.79,2058.97,-106.17999999999984
13,2022-06-19 03:15:00,1952.79,0.0,172.22,1627.87,324.9200000000001,1952.79,1952.79,0.0
14,2022-06-19 03:30:00,2081.67,-201.69,219.21,1952.79,128.8800000000001,1879.98,1952.79,-72.80999999999995
15,2022-06-19 03:45:00,1879.98,0.0,219.21,2081.67,-201.69000000000005,1879.98,1879.98,0.0
16,2022-06-19 04:00:00,1480.03,290.35,141.33,1879.98,-399.95000000000005,1770.38,1879.98,-109.59999999999991
17,2022-06-19 04:15:00,1369.59,400.79,33.82,1480.03,-110.44000000000005,1770.3799999999999,1770.38,-2.2737367544323206e-13
18,2022-06-19 04:30:00,1903.38,-133.0,64.81,1369.59,533.7900000000002,1770.38,1770.3799999999999,2.2737367544323206e-13
19,2022-06-19 04:45:00,1823.07,-127.7,94.56,1903.38,-80.31000000000017,1695.37,1770.38,-75.01000000000022
20,2022-06-19 05:00:00,1695.37,-28.51,101.2,1823.07,-127.70000000000005,1666.86,1695.37,-28.50999999999999
21,2022-06-19 05:15:00,1478.85,0.0,101.2,1695.37,-216.51999999999998,1478.85,1666.86,-188.01
22,2022-06-19 05:30:00,1391.47,0.0,101.2,1478.85,-87.37999999999988,1391.47,1478.85,-87.37999999999988
23,2022-06-19 05:45:00,1667.01,-399.95,194.39,1391.47,275.53999999999996,1267.06,1391.47,-124.41000000000008
24,2022-06-19 06:00:00,1661.73,-394.67,286.35,1667.01,-5.279999999999973,1267.06,1267.06,0.0
25,2022-06-19 06:15:00,1794.86,-527.8,409.33,1661.73,133.12999999999988,1267.06,1267.06,0.0
26,2022-06-19 06:30:00,1836.06,-568.99,541.91,1794.86,41.200000000000045,1267.07,1267.06,0.009999999999990905
27,2022-06-19 06:45:00,1685.99,-418.91,639.52,1836.06,-150.06999999999994,1267.08,1267.07,0.009999999999990905
28,2022-06-19 07:00:00,1279.9,-12.81,642.5,1685.99,-406.0899999999999,1267.0900000000001,1267.08,0.010000000000218279
29,2022-06-19 07:15:00,707.32,10.0,639.82,1279.9,-572.58,717.32,1267.0900000000001,-549.7700000000001
30,2022-06-19 07:30:00,453.94,258.19,570.56,707.32,-253.38000000000005,712.13,717.32,-5.190000000000055
31,2022-06-19 07:45:00,283.91,428.22,455.69,453.94,-170.02999999999997,712.1300000000001,712.13,1.1368683772161603e-13
32,2022-06-19 08:00:00,242.7,469.43,329.77,283.91,-41.210000000000036,712.13,712.1300000000001,-1.1368683772161603e-13
33,2022-06-19 08:15:00,352.74,359.39,233.37,242.7,110.04000000000002,712.13,712.13,0.0
34,2022-06-19 08:30:00,645.04,67.09,215.37,352.74,292.29999999999995,712.13,712.13,0.0
35,2022-06-19 08:45:00,850.86,-138.73,247.69,645.04,205.82000000000005,712.13,712.13,0.0
36,2022-06-19 09:00:00,878.99,-166.86,286.57,850.86,28.129999999999995,712.13,712.13,0.0
37,2022-06-19 09:15:00,762.19,-50.06,298.23,878.99,-116.79999999999995,712.1300000000001,712.13,1.1368683772161603e-13
38,2022-06-19 09:30:00,758.67,-46.54,309.07,762.19,-3.5200000000000955,712.13,712.1300000000001,-1.1368683772161603e-13
39,2022-06-19 09:45:00,764.62,-52.49,321.3,758.67,5.9500000000000455,712.13,712.13,0.0
40,2022-06-19 10:00:00,770.86,-58.73,334.98,764.62,6.240000000000009,712.13,712.13,0.0
41,2022-06-19 10:15:00,696.55,11.31,331.94,770.86,-74.31000000000006,707.8599999999999,712.13,-4.2700000000000955
42,2022-06-19 10:30:00,588.03,119.83,299.8,696.55,-108.51999999999998,707.86,707.8599999999999,1.1368683772161603e-13
43,2022-06-19 10:45:00,692.56,15.3,295.69,588.03,104.52999999999997,707.8599999999999,707.86,-1.1368683772161603e-13
44,2022-06-19 11:00:00,944.38,-236.52,350.8,692.56,251.82000000000005,707.86,707.8599999999999,1.1368683772161603e-13
45,2022-06-19 11:15:00,896.19,-188.33,394.68,944.38,-48.18999999999994,707.86,707.86,0.0
46,2022-06-19 11:30:00,927.15,-219.29,445.77,896.19,30.959999999999923,707.86,707.86,0.0
47,2022-06-19 11:45:00,1128.17,-420.31,543.7,927.15,201.0200000000001,707.8600000000001,707.86,1.1368683772161603e-13
48,2022-06-19 12:00:00,847.39,-139.53,576.21,1128.17,-280.7800000000001,707.86,707.8600000000001,-1.1368683772161603e-13
49,2022-06-19 12:15:00,745.49,-37.63,584.98,847.39,-101.89999999999998,707.86,707.86,0.0
50,2022-06-19 12:30:00,932.22,-224.36,637.26,745.49,186.73000000000002,707.86,707.86,0.0
51,2022-06-19 12:45:00,730.38,-22.51,642.5,932.22,-201.84000000000003,707.87,707.86,0.009999999999990905
52,2022-06-19 13:00:00,501.61,37.02,632.57,730.38,-228.76999999999998,538.63,707.87,-169.24
53,2022-06-19 13:15:00,447.32,91.31,608.08,501.61,-54.29000000000002,538.63,538.63,0.0
54,2022-06-19 13:30:00,447.19,91.44,583.55,447.32,-0.12999999999999545,538.63,538.63,0.0
55,2022-06-19 13:45:00,412.1,126.53,549.61,447.19,-35.089999999999975,538.63,538.63,0.0
56,2022-06-19 14:00:00,436.88,101.75,522.32,412.1,24.779999999999973,538.63,538.63,0.0
57,2022-06-19 14:15:00,412.85,125.78,488.58,436.88,-24.029999999999973,538.63,538.63,0.0
58,2022-06-19 14:30:00,240.99,297.64,408.74,412.85,-171.86,538.63,538.63,0.0
59,2022-06-19 14:45:00,139.11,399.52,301.57,240.99,-101.88,538.63,538.63,0.0
60,2022-06-19 15:00:00,168.09,370.54,202.18,139.11,28.97999999999999,538.63,538.63,0.0
61,2022-06-19 15:15:00,178.37,360.26,105.54,168.09,10.280000000000001,538.63,538.63,0.0
62,2022-06-19 15:30:00,271.27,267.36,33.82,178.37,92.89999999999998,538.63,538.63,0.0
63,2022-06-19 15:45:00,727.46,-188.83,77.82,271.27,456.19000000000005,538.63,538.63,0.0
64,2022-06-19 16:00:00,854.13,-315.5,151.33,727.46,126.66999999999996,538.63,538.63,0.0
65,2022-06-19 16:15:00,1434.97,-676.32,308.91,854.13,580.84,758.65,538.63,220.01999999999998
66,2022-06-19 16:30:00,659.4,-197.58,354.95,1434.97,-775.57,461.81999999999994,758.65,-296.83000000000004
67,2022-06-19 16:45:00,559.17,-97.35,377.63,659.4,-100.23000000000002,461.81999999999994,461.81999999999994,0.0
68,2022-06-19 17:00:00,533.12,-71.3,394.24,559.17,-26.049999999999955,461.82,461.81999999999994,5.684341886080802e-14
69,2022-06-19 17:15:00,375.84,85.97,371.18,533.12,-157.28000000000003,461.80999999999995,461.82,-0.010000000000047748
70,2022-06-19 17:30:00,344.31,117.5,339.66,375.84,-31.529999999999973,461.81,461.80999999999995,5.684341886080802e-14
71,2022-06-19 17:45:00,343.17,118.64,307.83,344.31,-1.1399999999999864,461.81,461.81,0.0
72,2022-06-19 18:00:00,389.95,71.86,288.55,343.17,46.77999999999997,461.81,461.81,0.0
73,2022-06-19 18:15:00,395.04,66.77,270.64,389.95,5.090000000000032,461.81,461.81,0.0
74,2022-06-19 18:30:00,354.66,107.15,241.9,395.04,-40.379999999999995,461.81000000000006,461.81,5.684341886080802e-14
75,2022-06-19 18:45:00,269.14,192.67,190.22,354.66,-85.52000000000004,461.80999999999995,461.81000000000006,-1.1368683772161603e-13
76,2022-06-19 19:00:00,247.57,214.24,132.75,269.14,-21.569999999999993,461.81,461.80999999999995,5.684341886080802e-14
77,2022-06-19 19:15:00,275.59,186.22,82.8,247.57,28.019999999999982,461.80999999999995,461.81,-5.684341886080802e-14
78,2022-06-19 19:30:00,362.23,99.59,56.09,275.59,86.64000000000004,461.82000000000005,461.80999999999995,0.010000000000104592
79,2022-06-19 19:45:00,378.79,83.03,33.82,362.23,16.560000000000002,461.82000000000005,461.82000000000005,0.0
80,2022-06-19 20:00:00,487.41,0.0,33.82,378.79,108.62,487.41,461.82000000000005,25.589999999999975
81,2022-06-19 20:15:00,621.55,-47.72,44.94,487.41,134.13999999999993,573.8299999999999,487.41,86.4199999999999
82,2022-06-19 20:30:00,688.4,-113.6,71.41,621.55,66.85000000000002,574.8,573.8299999999999,0.9700000000000273
83,2022-06-19 20:45:00,574.8,0.0,71.41,688.4,-113.60000000000002,574.8,574.8,0.0
84,2022-06-19 21:00:00,581.2,0.0,71.41,574.8,6.400000000000091,581.2,574.8,6.400000000000091
85,2022-06-19 21:15:00,618.7,0.0,71.41,581.2,37.5,618.7,581.2,37.5
86,2022-06-19 21:30:00,639.68,0.0,71.41,618.7,20.979999999999905,639.68,618.7,20.979999999999905
87,2022-06-19 21:45:00,609.65,30.03,63.35,639.68,-30.029999999999973,639.68,639.68,0.0
88,2022-06-19 22:00:00,683.54,0.0,63.35,609.65,73.88999999999999,683.54,639.68,43.860000000000014
89,2022-06-19 22:15:00,756.59,0.0,63.35,683.54,73.05000000000007,756.59,683.54,73.05000000000007
90,2022-06-19 22:30:00,764.25,0.0,63.35,756.59,7.659999999999968,764.25,756.59,7.659999999999968
91,2022-06-19 22:45:00,723.91,40.34,52.53,764.25,-40.34000000000003,764.25,764.25,0.0
92,2022-06-19 23:00:00,782.18,0.0,52.53,723.91,58.26999999999998,782.18,764.25,17.92999999999995
93,2022-06-19 23:15:00,844.71,6.8,50.71,782.18,62.530000000000086,851.51,782.18,69.33000000000004
94,2022-06-19 23:30:00,827.67,62.96,33.82,844.71,-17.040000000000077,890.63,851.51,39.120000000000005
95,2022-06-19 23:45:00,1032.75,-142.12,66.93,827.67,205.08000000000004,890.63,890.63,0.0
