,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-09-18 00:00:00,1663.82,0.0,338.16,1663.82,0.0,1663.82,1663.82,0.0
1,2022-09-18 00:15:00,1647.74,0.0,338.16,1663.82,-16.079999999999927,1647.74,1663.82,-16.079999999999927
2,2022-09-18 00:30:00,1589.06,-93.96,360.05,1647.74,-58.680000000000064,1495.1,1647.74,-152.6400000000001
3,2022-09-18 00:45:00,1575.79,-399.1,453.04,1589.06,-13.269999999999982,1176.69,1495.1,-318.40999999999985
4,2022-09-18 01:00:00,1470.96,-294.27,521.6,1575.79,-104.82999999999993,1176.69,1176.69,0.0
5,2022-09-18 01:15:00,1390.37,-213.68,571.39,1470.96,-80.59000000000015,1176.6899999999998,1176.69,-2.2737367544323206e-13
6,2022-09-18 01:30:00,1310.63,-133.94,602.6,1390.37,-79.73999999999978,1176.69,1176.6899999999998,2.2737367544323206e-13
7,2022-09-18 01:45:00,1195.66,-18.97,607.02,1310.63,-114.97000000000003,1176.69,1176.69,0.0
8,2022-09-18 02:00:00,1249.38,-72.69,623.96,1195.66,53.72000000000003,1176.69,1176.69,0.0
9,2022-09-18 02:15:00,1228.96,-52.27,636.14,1249.38,-20.420000000000073,1176.69,1176.69,0.0
10,2022-09-18 02:30:00,1150.98,-27.31,642.5,1228.96,-77.98000000000002,1123.67,1176.69,-53.01999999999998
11,2022-09-18 02:45:00,1109.7,-0.02,642.5,1150.98,-41.27999999999997,1109.68,1123.67,-13.990000000000009
12,2022-09-18 03:00:00,1085.27,-0.02,642.5,1109.7,-24.430000000000064,1085.25,1109.68,-24.430000000000064
13,2022-09-18 03:15:00,1060.2,10.61,639.65,1085.27,-25.069999999999936,1070.81,1085.25,-14.440000000000055
14,2022-09-18 03:30:00,979.72,91.09,615.22,1060.2,-80.48000000000002,1070.81,1070.81,0.0
15,2022-09-18 03:45:00,1008.99,61.82,598.64,979.72,29.269999999999982,1070.81,1070.81,0.0
16,2022-09-18 04:00:00,1053.92,16.89,594.11,1008.99,44.930000000000064,1070.8100000000002,1070.81,2.2737367544323206e-13
17,2022-09-18 04:15:00,1011.04,59.77,578.08,1053.92,-42.88000000000011,1070.81,1070.8100000000002,-2.2737367544323206e-13
18,2022-09-18 04:30:00,957.73,113.08,547.75,1011.04,-53.309999999999945,1070.81,1070.81,0.0
