,Datetime,P_W_list,p_bss_values,E,P_W_shift,original_flucuation,P_CW,P_CW_shift,after_flucuation
0,2022-09-18 00:00:00,1663.82,0.0,338.16,1663.82,0.0,1663.82,1663.82,0.0
1,2022-09-18 00:15:00,1647.74,-33.92,346.06,1663.82,-16.079999999999927,1613.82,1663.82,-50.0
2,2022-09-18 00:30:00,1589.06,-25.24,351.94,1647.74,-58.680000000000064,1563.82,1613.82,-50.0
3,2022-09-18 00:45:00,1575.79,-61.97,366.38,1589.06,-13.269999999999982,1513.82,1563.82,-50.0
4,2022-09-18 01:00:00,1470.96,-21.65,371.42,1575.79,-104.82999999999993,1449.31,1513.82,-64.50999999999999
5,2022-09-18 01:15:00,1390.37,8.94,369.02,1470.96,-80.59000000000015,1399.31,1449.31,-50.0
6,2022-09-18 01:30:00,1310.63,38.68,358.64,1390.37,-79.73999999999978,1349.3100000000002,1399.31,-49.99999999999977
7,2022-09-18 01:45:00,1195.66,103.65,330.84,1310.63,-114.97000000000003,1299.3100000000002,1349.3100000000002,-50.0
8,2022-09-18 02:00:00,1249.38,-0.07,330.86,1195.66,53.72000000000003,1249.3100000000002,1299.3100000000002,-50.0
9,2022-09-18 02:15:00,1228.96,-29.65,337.77,1249.38,-20.420000000000073,1199.31,1249.3100000000002,-50.00000000000023
10,2022-09-18 02:30:00,1150.98,-1.67,338.16,1228.96,-77.98000000000002,1149.31,1199.31,-50.0
11,2022-09-18 02:45:00,1109.7,0.0,338.16,1150.98,-41.27999999999997,1109.7,1149.31,-39.6099999999999
12,2022-09-18 03:00:00,1085.27,0.0,338.16,1109.7,-24.430000000000064,1085.27,1109.7,-24.430000000000064
13,2022-09-18 03:15:00,1060.2,-16.31,341.96,1085.27,-25.069999999999936,1043.89,1085.27,-41.37999999999988
14,2022-09-18 03:30:00,979.72,14.17,338.16,1060.2,-80.48000000000002,993.89,1043.89,-50.000000000000114
15,2022-09-18 03:45:00,1008.99,0.0,338.16,979.72,29.269999999999982,1008.99,993.89,15.100000000000023
16,2022-09-18 04:00:00,1053.92,0.0,338.16,1008.99,44.930000000000064,1053.92,1008.99,44.930000000000064
17,2022-09-18 04:15:00,1011.04,0.0,338.16,1053.92,-42.88000000000011,1011.04,1053.92,-42.88000000000011
18,2022-09-18 04:30:00,957.73,19.05,333.05,1011.04,-53.309999999999945,976.78,1011.04,-34.25999999999999
19,2022-09-18 04:45:00,1000.89,25.89,326.11,957.73,43.15999999999997,1026.78,976.78,50.0
20,2022-09-18 05:00:00,1118.28,-41.5,335.78,1000.89,117.38999999999999,1076.78,1026.78,50.0
21,2022-09-18 05:15:00,1122.41,-10.23,338.16,1118.28,4.130000000000109,1112.18,1076.78,35.40000000000009
22,2022-09-18 05:30:00,1088.63,-26.45,344.32,1122.41,-33.77999999999997,1062.18,1112.18,-50.0
23,2022-09-18 05:45:00,1029.76,-17.58,348.42,1088.63,-58.87000000000012,1012.18,1062.18,-50.000000000000114
24,2022-09-18 06:00:00,957.03,5.15,347.04,1029.76,-72.73000000000002,962.18,1012.18,-50.0
25,2022-09-18 06:15:00,904.34,7.84,344.94,957.03,-52.68999999999994,912.1800000000001,962.18,-49.999999999999886
26,2022-09-18 06:30:00,836.89,25.29,338.16,904.34,-67.45000000000005,862.18,912.1800000000001,-50.000000000000114
27,2022-09-18 06:45:00,824.23,74.62,318.14,836.89,-12.659999999999968,898.85,862.18,36.67000000000007
28,2022-09-18 07:00:00,898.11,50.74,304.53,824.23,73.88,948.85,898.85,50.0
29,2022-09-18 07:15:00,1032.59,-33.74,312.39,898.11,134.4799999999999,998.8499999999999,948.85,49.999999999999886
30,2022-09-18 07:30:00,1128.64,-79.79,330.98,1032.59,96.05000000000018,1048.8500000000001,998.8499999999999,50.00000000000023
31,2022-09-18 07:45:00,1169.46,-70.62,347.43,1128.64,40.819999999999936,1098.8400000000001,1048.8500000000001,49.99000000000001
32,2022-09-18 08:00:00,1117.54,-68.7,363.44,1169.46,-51.92000000000007,1048.84,1098.8400000000001,-50.00000000000023
33,2022-09-18 08:15:00,1019.13,-20.29,368.17,1117.54,-98.40999999999997,998.84,1048.84,-49.999999999999886
34,2022-09-18 08:30:00,886.95,61.89,351.57,1019.13,-132.17999999999995,948.84,998.84,-50.0
35,2022-09-18 08:45:00,848.85,49.99,338.16,886.95,-38.10000000000002,898.84,948.84,-50.0
36,2022-09-18 09:00:00,776.75,72.09,318.82,848.85,-72.10000000000002,848.84,898.84,-50.0
37,2022-09-18 09:15:00,904.04,-25.72,324.81,776.75,127.28999999999996,878.3199999999999,848.84,29.479999999999905
38,2022-09-18 09:30:00,985.6,-57.3,338.16,904.04,81.56000000000006,928.3000000000001,878.3199999999999,49.98000000000013
39,2022-09-18 09:45:00,967.54,0.0,338.16,985.6,-18.06000000000006,967.54,928.3000000000001,39.239999999999895
40,2022-09-18 10:00:00,1071.32,-53.78,350.69,967.54,103.77999999999997,1017.54,967.54,50.0
41,2022-09-18 10:15:00,1065.9,0.55,350.54,1071.32,-5.419999999999845,1066.45,1017.54,48.91000000000008
42,2022-09-18 10:30:00,1085.9,30.55,342.35,1065.9,20.0,1116.45,1066.45,50.0
43,2022-09-18 10:45:00,1075.48,90.97,317.95,1085.9,-10.420000000000073,1166.45,1116.45,50.0
44,2022-09-18 11:00:00,1147.17,69.28,299.37,1075.48,71.69000000000005,1216.45,1166.45,50.0
45,2022-09-18 11:15:00,1254.06,12.39,296.05,1147.17,106.88999999999987,1266.45,1216.45,50.0
46,2022-09-18 11:30:00,1310.79,5.66,294.53,1254.06,56.73000000000002,1316.45,1266.45,50.0
47,2022-09-18 11:45:00,1292.4,74.05,274.67,1310.79,-18.389999999999873,1366.45,1316.45,50.0
48,2022-09-18 12:00:00,1707.58,-291.13,342.5,1292.4,415.17999999999984,1416.4499999999998,1366.45,49.99999999999977
49,2022-09-18 12:15:00,1561.42,-94.97,364.63,1707.58,-146.15999999999985,1466.45,1416.4499999999998,50.00000000000023
50,2022-09-18 12:30:00,1396.31,120.14,332.4,1561.42,-165.11000000000013,1516.45,1466.45,50.0
51,2022-09-18 12:45:00,1475.1,91.35,307.9,1396.31,78.78999999999996,1566.4499999999998,1516.45,49.99999999999977
52,2022-09-18 13:00:00,1746.34,-129.89,338.16,1475.1,271.24,1616.4499999999998,1566.4499999999998,50.0
53,2022-09-18 13:15:00,1828.86,-174.35,378.78,1746.34,82.51999999999998,1654.51,1616.4499999999998,38.06000000000017
54,2022-09-18 13:30:00,1574.13,30.38,370.63,1828.86,-254.7299999999998,1604.5100000000002,1654.51,-49.99999999999977
55,2022-09-18 13:45:00,1486.88,67.63,352.49,1574.13,-87.25,1554.5100000000002,1604.5100000000002,-50.0
56,2022-09-18 14:00:00,1511.43,-6.92,354.1,1486.88,24.549999999999955,1504.51,1554.5100000000002,-50.00000000000023
57,2022-09-18 14:15:00,1390.92,63.59,337.04,1511.43,-120.50999999999999,1454.51,1504.51,-50.0
58,2022-09-18 14:30:00,1409.31,-4.8,338.16,1390.92,18.389999999999873,1404.51,1454.51,-50.0
59,2022-09-18 14:45:00,1459.13,-23.08,343.54,1409.31,49.820000000000164,1436.0500000000002,1404.51,31.54000000000019
60,2022-09-18 15:00:00,1452.64,33.41,334.58,1459.13,-6.490000000000009,1486.0500000000002,1436.0500000000002,50.0
61,2022-09-18 15:15:00,1441.29,94.76,309.16,1452.64,-11.350000000000136,1536.05,1486.0500000000002,49.99999999999977
62,2022-09-18 15:30:00,1503.97,82.08,287.14,1441.29,62.680000000000064,1586.05,1536.05,50.0
