sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,518.4200000000919,0.41014240506336386,318.59,0.41014240506336386,318.59,1264
2,1499.6600000000903,1.7041590909091935,323.3399999999998,0.8520795454545967,282.88999999999976,880
3,3340.8100000000654,5.485730706075641,716.0800000000004,1.8285769020252136,441.8100000000002,609
4,5164.530000000049,11.579663677130155,872.9300000000003,2.8949159192825387,528.3899999999999,446
5,7862.880000000027,26.20960000000009,697.45,5.241920000000018,527.4299999999998,300
6,10176.15000000002,50.62761194029861,1851.25,8.4379353233831,1274.1,201
7,6690.1600000000135,49.926567164179204,772.8499999999999,7.132366737739886,435.25,134
8,12890.19000000001,118.25862385321109,1000.0600000000002,14.782327981651386,550.51,109
9,6552.150000000007,84.00192307692316,1224.9500000000003,9.333547008547017,320.59000000000003,78
10,5863.240000000005,86.2241176470589,788.4900000000002,8.62241176470589,213.02,68
11,5007.090000000003,125.17725000000007,757.7800000000002,11.379750000000007,282.42999999999984,40
12,9841.620000000003,228.87488372093028,1321.3100000000002,19.072906976744193,583.84,43
13,5831.450000000002,171.5132352941177,886.9000000000001,13.193325791855207,222.24,34
14,8069.620000000003,268.9873333333334,1128.7800000000002,19.213380952380955,481.75,30
15,9713.790000000005,303.55593750000014,1873.49,20.237062500000008,670.6000000000001,32
16,7281.140000000003,234.87548387096783,1061.0300000000002,14.67971774193549,381.2500000000001,31
17,5446.580000000003,201.7251851851853,1097.2,11.86618736383443,268.9999999999998,27
18,1272.910000000001,106.07583333333342,414.06,5.893101851851856,165.32,12
19,7341.340000000002,367.0670000000001,1407.2200000000003,19.319315789473688,466.21,20
20,4923.1500000000015,351.6535714285715,1535.6700000000003,17.582678571428577,422.2400000000001,14
21,4915.930000000001,289.17235294117654,1009.0500000000001,13.770112044817932,274.8299999999999,17
22,4706.02,362.0015384615385,844.63,16.454615384615387,283.05999999999995,13
23,1864.4400000000007,233.0550000000001,711.44,10.132826086956525,671.2,8
24,6638.830000000002,663.8830000000002,1583.1200000000001,27.66179166666667,560.11,10
25,5133.880000000002,466.71636363636384,1779.67,18.668654545454554,351.17999999999984,11
26,1549.7500000000011,221.3928571428573,957.6700000000001,8.515109890109898,159.39999999999998,7
27,1566.4100000000005,261.06833333333344,1195.94,9.669197530864201,278.92999999999984,6
28,523.2300000000001,87.20500000000003,308.3200000000001,3.1144642857142872,69.15999999999997,6
29,2687.8600000000006,383.9800000000001,1141.6000000000001,13.240689655172417,365.4699999999998,7
30,893.45,148.90833333333333,244.04999999999995,4.963611111111111,84.82000000000016,6
31,4684.390000000001,936.8780000000003,1889.2,30.22187096774194,832.8100000000001,5
32,528.6600000000001,132.16500000000002,417.93000000000006,4.130156250000001,82.59999999999991,4
33,3352.9700000000003,1117.6566666666668,1517.1500000000003,33.868383838383835,339.1299999999999,3
34,1332.0700000000008,333.0175000000002,965.8200000000002,9.794632352941182,143.81999999999994,4
35,4402.620000000001,628.9457142857144,1829.3600000000001,17.96987755102041,262.7199999999998,7
36,655.8300000000002,131.16600000000003,406.1,3.6435000000000004,67.12,5
38,476.08000000000027,158.6933333333334,243.36,4.176140350877195,55.920000000000016,3
39,1923.6500000000003,384.7300000000001,996.9500000000003,9.864871794871796,428.0899999999999,5
40,1673.4200000000005,1673.4200000000005,1673.4200000000005,41.83550000000001,244.34000000000003,1
41,565.01,282.505,349.42,6.890365853658537,61.38999999999999,2
42,1100.0600000000004,275.0150000000001,842.5,6.547976190476193,145.0,4
43,1173.0900000000001,1173.0900000000001,1173.0900000000001,27.281162790697678,642.0,1
44,1855.15,618.3833333333333,1394.96,14.054166666666667,233.17000000000007,3
45,259.02000000000004,129.51000000000002,149.49000000000004,2.8780000000000006,9.310000000000002,2
46,2502.07,834.0233333333334,1357.0800000000002,18.13094202898551,385.6499999999999,3
47,393.19000000000017,131.0633333333334,233.72000000000006,2.788581560283689,46.20999999999958,3
49,2410.000000000001,1205.0000000000005,2060.7800000000007,24.59183673469389,251.96000000000004,2
50,550.3900000000007,137.59750000000017,177.77,2.7519500000000034,53.91999999999999,4
52,184.6,184.6,184.6,3.55,8.390000000000015,1
53,1689.9800000000002,1689.9800000000002,1689.9800000000002,31.88641509433963,157.69000000000003,1
54,123.30000000000013,123.30000000000013,123.30000000000013,2.2833333333333354,13.58000000000004,1
58,491.170000000001,245.5850000000005,423.4300000000003,4.234224137931043,305.24,2
60,152.9200000000003,152.9200000000003,152.9200000000003,2.5486666666666715,42.14999999999986,1
61,1939.1200000000003,1939.1200000000003,1939.1200000000003,31.7888524590164,370.44000000000005,1
66,1079.1900000000005,1079.1900000000005,1079.1900000000005,16.351363636363644,583.9399999999998,1
67,36.030000000000655,36.030000000000655,36.030000000000655,0.5377611940298606,1.8400000000001453,1
77,221.23000000000002,221.23000000000002,221.23000000000002,2.873116883116883,126.41999999999985,1
78,407.1200000000001,407.1200000000001,407.1200000000001,5.219487179487181,95.58000000000015,1
85,688.9900000000005,688.9900000000005,688.9900000000005,8.105764705882358,258.1299999999999,1
87,210.76000000000002,210.76000000000002,210.76000000000002,2.4225287356321843,8.740000000000009,1
90,978.0400000000002,978.0400000000002,978.0400000000002,10.867111111111113,308.44000000000005,1
106,2031.1700000000003,2031.1700000000003,2031.1700000000003,19.161981132075475,279.5899999999999,1
109,1389.9100000000003,1389.9100000000003,1389.9100000000003,12.751467889908259,320.45000000000005,1
118,50.850000000000364,50.850000000000364,50.850000000000364,0.43093220338983357,1.5099999999997635,1
