sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,60184.35,27.294489795918366,813.1099999999999,27.294489795918366,813.1099999999999,2205
2,124221.11,83.7069474393531,1240.03,41.85347371967655,992.64,1484
3,111389.41,131.35543632075473,1146.75,43.785145440251576,601.74,848
4,89241.81,171.94953757225434,1739.6000000000001,42.987384393063586,1284.68,519
5,70898.41,239.52165540540543,1849.2599999999998,47.90433108108108,772.1400000000001,296
6,60045.89,319.39303191489364,1404.74,53.2321719858156,893.2899999999998,188
7,47386.15,340.90755395683453,1265.5800000000002,48.701079136690645,572.6399999999999,139
8,28352.39,329.6789534883721,1620.0799999999997,41.20986918604651,459.5300000000001,86
9,34858.42,536.2833846153845,1931.35,59.587042735042736,560.1,65
10,14668.17,376.10692307692307,1256.5900000000001,37.61069230769231,302.99,39
11,19178.65,639.2883333333334,1586.3199999999997,58.11712121212121,437.96,30
12,7768.19,369.9138095238095,1028.48,30.826150793650793,211.97000000000003,21
13,7958.59,442.1438888888889,1737.9399999999998,34.01106837606838,313.04999999999995,18
14,4646.49,422.4081818181818,1067.42,30.172012987012987,425.93,11
15,4272.74,610.3914285714285,1335.9599999999998,40.6927619047619,298.24,7
16,6791.61,1131.935,1888.6599999999999,70.7459375,236.58999999999992,6
17,1397.05,465.68333333333334,847.73,27.39313725490196,119.82999999999991,3
18,7043.58,1006.2257142857143,2155.07,55.901428571428575,409.18000000000006,7
19,3234.3100000000004,1078.1033333333335,1189.01,56.74228070175439,146.71000000000004,3
20,2071.06,690.3533333333334,1021.11,34.51766666666666,145.0,3
21,2856.36,952.12,2046.5700000000002,45.33904761904762,268.8900000000001,3
23,3882.1800000000003,1294.0600000000002,2031.7700000000002,56.26347826086956,232.5,3
27,688.39,688.39,688.39,25.495925925925924,85.84999999999997,1
28,683.3299999999999,683.3299999999999,683.3299999999999,24.404642857142854,65.41000000000003,1
37,2136.48,2136.48,2136.48,57.7427027027027,285.5,1
