sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,21896.360000000237,9.984660282717847,67.8599999999999,9.984660282717847,67.8599999999999,2193
2,37653.74000000002,38.422183673469405,194.7700000000002,19.211091836734703,144.76999999999998,980
3,43857.680000000015,68.207900466563,715.76,22.73596682218767,645.0800000000002,643
4,40030.27000000001,94.41101415094343,914.9100000000001,23.602753537735857,418.23,424
5,36891.66,145.81683794466406,1777.0099999999998,29.163367588932807,694.6800000000001,253
6,35107.490000000005,189.77021621621626,1067.13,31.628369369369373,748.95,185
7,42379.14,263.22447204968944,1757.3400000000001,37.60349600709849,821.5699999999999,161
8,27299.95,303.3327777777778,1318.92,37.91659722222222,693.1699999999998,90
9,28083.070000000003,360.039358974359,1931.3400000000001,40.00437321937322,721.17,78
10,28606.610000000004,529.7520370370371,1527.38,52.975203703703706,615.78,54
11,19990.420000000002,526.0636842105264,1165.2100000000003,47.82397129186603,483.4500000000001,38
12,24801.52,527.6919148936171,1272.74,43.974326241134754,459.21,47
13,20590.28,623.9478787878787,1755.81,47.995990675990676,697.75,33
14,12074.72,603.736,1731.4000000000003,43.124,560.34,20
15,14435.04,687.3828571428572,1622.8799999999999,45.82552380952381,677.43,21
16,6939.81,991.4014285714286,1524.8200000000002,61.96258928571429,535.1400000000001,7
17,9383.99,721.8453846153845,1138.27,42.46149321266968,349.0799999999999,13
18,8977.07,897.707,2155.07,49.87261111111111,817.1999999999998,10
19,8498.710000000001,1214.1014285714286,1997.6499999999999,63.90007518796993,450.75,7
20,4573.48,762.2466666666666,1073.8600000000001,38.11233333333333,123.8599999999999,6
21,6062.42,757.8025,2046.5500000000002,36.08583333333333,735.8400000000001,8
22,3165.55,1582.775,1725.0,71.94431818181818,429.57,2
23,8921.990000000002,1486.9983333333337,2020.5000000000002,64.65210144927538,562.3499999999999,6
24,1031.1100000000001,1031.1100000000001,1031.1100000000001,42.96291666666667,50.00000000000023,1
26,1897.6099999999997,948.8049999999998,1214.6599999999999,36.49249999999999,50.00000000000023,2
27,3214.5299999999997,1071.51,1813.87,39.68555555555556,575.0100000000002,3
28,7117.469999999999,1423.494,2147.4799999999996,50.83907142857142,542.0199999999998,5
30,3966.4800000000005,1983.2400000000002,2193.01,66.108,446.6099999999999,2
31,996.9,996.9,996.9,32.15806451612903,50.000000000000114,1
33,1972.35,1972.35,1972.35,59.768181818181816,308.6700000000003,1
34,1431.06,1431.06,1431.06,42.089999999999996,99.28999999999996,1
36,1893.99,1893.99,1893.99,52.61083333333333,224.33999999999992,1
37,2136.48,2136.48,2136.48,57.7427027027027,556.0399999999998,1
