sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,20501.10000000001,12.024105571847512,50.000000000000455,12.024105571847512,50.000000000000455,1705
2,34696.86000000001,33.65359844810864,100.00000000000045,16.82679922405432,50.000000000000455,1031
3,32327.370000000006,53.17001644736843,150.00000000000023,17.72333881578948,50.000000000000455,608
4,33456.39000000001,80.42401442307694,200.00000000000023,20.106003605769235,50.000000000000455,416
5,26176.63,109.06929166666667,250.00000000000006,21.813858333333332,50.009999999999934,240
6,22868.09,140.29503067484663,300.00000000000006,23.382505112474437,50.01000000000002,163
7,22670.280000000002,179.92285714285717,350.0,25.70326530612245,50.000000000000455,126
8,18626.02,221.73833333333334,399.99999999999955,27.717291666666668,50.000000000000455,84
9,16549.11,262.68428571428575,605.5899999999999,29.187142857142856,205.58999999999992,63
10,13585.05,295.32717391304345,868.53,29.53271739130435,349.8299999999999,46
11,13784.580000000002,328.20428571428573,551.19,29.83675324675325,55.03999999999997,42
12,13228.4,367.4555555555555,758.4200000000001,30.6212962962963,307.06,36
13,6582.24,299.19272727272727,740.4800000000002,23.014825174825173,140.47000000000003,22
14,11733.4,378.4967741935484,766.6600000000003,27.03548387096774,124.08999999999992,31
15,9956.53,553.1405555555556,1159.6999999999998,36.87603703703704,459.69999999999993,18
16,3449.21,344.921,743.01,21.5575625,50.00000000000023,10
17,5783.1,525.7363636363636,801.48,30.92566844919786,50.000000000000455,11
18,5046.3099999999995,720.9014285714285,1589.1499999999999,40.050079365079355,560.1,7
19,3475.21,579.2016666666667,1101.6499999999999,30.48429824561403,179.43999999999994,6
20,7106.540000000001,789.6155555555556,1000.0000000000001,39.480777777777774,50.00000000000023,9
21,8353.77,759.4336363636364,1290.26,36.163506493506496,290.25,11
22,4162.04,832.408,1187.09,37.83672727272727,137.07999999999993,5
23,8464.29,1058.03625,1436.2600000000002,46.001576086956526,343.0,8
24,7584.320000000001,1083.4742857142858,1273.33,45.144761904761914,183.1300000000001,7
25,4633.4400000000005,772.2400000000001,1248.16,30.8896,94.49999999999976,6
26,8434.77,1405.795,2155.6,54.06903846153846,409.18000000000006,6
27,13691.57,1140.9641666666666,1483.1100000000001,42.25793209876543,185.8599999999999,12
28,7688.73,1281.455,1501.9299999999998,45.76624999999999,151.93999999999983,6
29,6191.950000000001,1547.9875000000002,1893.43,53.37887931034483,225.91000000000008,4
30,3559.3600000000006,1779.6800000000003,1931.8100000000002,59.32266666666668,212.4300000000001,2
31,5421.92,1355.48,1692.23,43.72516129032258,221.12999999999988,4
32,4591.31,1530.4366666666667,1738.94,47.826145833333335,188.35,3
33,1587.6100000000001,1587.6100000000001,1587.6100000000001,48.10939393939395,54.77999999999997,1
34,8380.98,1676.196,1782.3200000000002,49.299882352941175,172.56999999999994,5
35,9408.76,1881.752,1982.85,53.76434285714286,207.0,5
36,4592.070000000001,2296.0350000000003,2488.6400000000003,63.77875,685.3699999999999,2
37,4363.9800000000005,2181.9900000000002,2330.34,58.972702702702705,454.2299999999999,2
39,8718.57,2179.6425,2411.46,55.88826923076923,228.14,4
40,10263.0,2052.6,2222.58,51.315,195.04000000000008,5
41,2225.93,1112.965,2223.2799999999997,27.145487804878044,178.8699999999999,2
42,2786.34,1393.17,2158.98,33.17071428571428,104.68000000000006,2
45,9437.99,2359.4975,2447.29,52.43327777777778,255.97000000000003,4
50,2129.8799999999997,2129.8799999999997,2129.8799999999997,42.59759999999999,50.000000000000455,1
