sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,22133.070000000003,13.479336175395861,50.000000000000455,13.479336175395861,50.000000000000455,1642
2,38255.8,36.74908741594621,100.00000000000045,18.374543707973103,50.000000000000455,1041
3,39076.4,60.86666666666667,150.00000000000045,20.28888888888889,50.000000000000455,642
4,38566.47,88.86283410138249,200.00000000000045,22.215708525345622,50.000000000000455,434
5,35041.11,129.3029889298893,250.00000000000023,25.860597785977863,50.000000000000455,271
6,28516.38,159.30938547486033,513.03,26.551564245810052,263.0299999999999,179
7,23603.08,200.02610169491527,790.03,28.575157384987897,490.03,118
8,25281.96,263.35375,671.2499999999998,32.91921875,220.84000000000012,96
9,20367.489999999998,295.1810144927536,450.0,32.79789049919485,87.17000000000007,69
10,18452.539999999997,335.5007272727272,900.88,33.55007272727273,450.8799999999999,55
11,23605.719999999998,453.9561538461538,1287.2600000000002,41.26874125874126,586.65,52
12,22022.81,478.7567391304348,1843.0700000000002,39.89639492753623,1025.9,46
13,29794.69,620.7227083333333,1410.23,47.74790064102564,521.3000000000002,48
14,22016.07,564.5146153846154,1568.8900000000003,40.32247252747253,724.8600000000001,39
15,20485.21,758.7114814814814,1375.8400000000001,50.580765432098765,675.8299999999999,27
16,13809.89,812.3464705882352,2230.73,50.7716544117647,508.8800000000001,17
17,9940.45,994.0450000000001,1995.22,58.47323529411765,1152.9299999999998,10
18,6322.530000000001,903.2185714285715,1489.08,50.17880952380953,396.7400000000002,7
19,8650.34,865.034,1832.43,45.52810526315789,394.52,10
20,11397.36,1266.3733333333334,1896.45,63.31866666666667,414.28,9
21,9109.93,1012.2144444444444,1872.4,48.200687830687826,662.4699999999998,9
22,7499.27,1249.8783333333333,1799.96,56.812651515151515,449.38000000000034,6
23,4435.45,1108.8625,1448.9199999999996,48.21141304347826,251.83999999999992,4
24,6700.88,1340.176,1676.07,55.840666666666664,326.1400000000001,5
25,5204.099999999999,867.3499999999999,2041.7999999999997,34.693999999999996,348.8399999999999,6
26,3498.11,1749.055,1752.6200000000001,67.27134615384615,359.7800000000002,2
27,3231.24,1615.62,1639.96,59.83777777777778,213.02,2
28,2688.22,1344.11,2004.8899999999999,48.003928571428574,290.71000000000004,2
29,4743.97,1581.3233333333335,1857.38,54.5283908045977,435.1399999999999,3
31,2206.82,2206.82,2206.82,71.18774193548387,260.31999999999994,1
32,6409.780000000001,2136.5933333333337,2308.4300000000003,66.76854166666668,457.4000000000001,3
34,2161.17,2161.17,2161.17,63.56382352941176,428.53,1
35,1994.6400000000003,1994.6400000000003,1994.6400000000003,56.98971428571429,124.24,1
41,2.65,2.65,2.65,0.06463414634146342,0.52,1
46,2243.8599999999997,2243.8599999999997,2243.8599999999997,48.779565217391294,133.93,1
