sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,22190.350000000002,13.295596165368485,50.000000000000455,13.295596165368485,50.000000000000455,1669
2,38328.39,36.433830798479086,100.00000000000045,18.216915399239543,50.000000000000455,1052
3,39008.5,60.66640746500778,150.00000000000045,20.22213582166926,50.000000000000455,643
4,38621.98,89.61016241299305,200.00000000000045,22.402540603248262,50.000000000000455,431
5,35179.270000000004,133.25481060606063,250.00000000000023,26.65096212121212,50.000000000000455,264
6,28399.71,170.05814371257483,513.03,28.34302395209581,263.0299999999999,167
7,23602.97,203.47387931034484,790.03,29.067697044334977,490.03,116
8,25524.309999999998,252.7159405940594,671.2499999999998,31.589492574257424,220.84000000000012,101
9,20480.66,296.82115942028986,450.0,32.98012882447665,87.17000000000007,69
10,18754.62,347.30777777777774,900.88,34.730777777777774,450.8799999999999,54
11,23898.77,531.0837777777778,1287.2600000000002,48.280343434343436,586.65,45
12,21423.56,498.22232558139535,1843.0700000000002,41.518527131782946,1025.9,43
13,29674.69,659.4375555555555,1410.23,50.725965811965814,521.3000000000002,45
14,21871.760000000002,705.5406451612904,1568.8900000000003,50.395760368663595,724.8600000000001,31
15,20416.87,816.6748,1375.8400000000001,54.444986666666665,675.8299999999999,25
16,13728.51,1056.0392307692307,2230.73,66.00245192307692,508.8800000000001,13
17,9937.18,1104.131111111111,1995.22,64.94888888888889,1152.9299999999998,9
18,6361.95,908.85,1489.08,50.49166666666667,396.7400000000002,7
19,8608.33,1076.04125,1832.43,56.63375,394.52,8
20,11397.36,1266.3733333333334,1896.45,63.31866666666667,414.28,9
21,9070.51,1133.81375,1872.4,53.991130952380956,662.4699999999998,8
22,7499.03,1499.806,1799.96,68.173,449.38000000000034,5
23,4435.45,1108.8625,1448.9199999999996,48.21141304347826,251.83999999999992,4
24,6700.88,1340.176,1676.07,55.840666666666664,326.1400000000001,5
25,5176.039999999999,1725.3466666666664,2041.7999999999997,69.01386666666666,348.8399999999999,3
26,3498.11,1749.055,1752.6200000000001,67.27134615384615,359.7800000000002,2
27,3231.24,1615.62,1639.96,59.83777777777778,213.02,2
28,2688.22,1344.11,2004.8899999999999,48.003928571428574,290.71000000000004,2
29,4743.97,1581.3233333333335,1857.38,54.5283908045977,435.1399999999999,3
31,2206.82,2206.82,2206.82,71.18774193548387,260.31999999999994,1
32,6409.780000000001,2136.5933333333337,2308.4300000000003,66.76854166666668,457.4000000000001,3
34,2161.17,2161.17,2161.17,63.56382352941176,428.53,1
35,1994.6400000000003,1994.6400000000003,1994.6400000000003,56.98971428571429,124.24,1
46,2243.8599999999997,2243.8599999999997,2243.8599999999997,48.779565217391294,133.93,1
