,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,43128.38,110.58558974358974,832.8100000000001,110.58558974358974,832.8100000000001,390
1,2,38076.19,247.24798701298704,1493.01,123.62399350649352,1274.1,154
2,3,27193.28,445.79147540983604,1153.73,148.59715846994536,583.9399999999998,61
3,4,20229.51,577.986,1722.22,144.4965,670.6000000000001,35
4,5,8839.710000000001,631.4078571428572,1099.19,126.28157142857143,454.2299999999999,14
5,6,8542.54,949.1711111111113,1210.75,158.19518518518518,642.0,9
6,7,1255.6000000000004,627.8000000000002,636.0700000000002,89.68571428571431,146.4699999999998,2
7,8,1220.44,1220.44,1220.44,152.555,244.34000000000003,1
8,9,3394.9399999999996,1131.6466666666665,1305.12,125.7385185185185,233.17000000000007,3
9,10,2405.9300000000003,1202.9650000000001,1518.5400000000002,120.29650000000001,413.28,2
