,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,54451.04000000015,56.30924508790088,552.3599999999999,56.30924508790088,552.3599999999999,967
1,2,22276.160000000007,244.7929670329671,1101.03,122.39648351648356,756.6600000000001,91
2,3,15526.830000000004,398.1238461538463,1565.9200000000005,132.70794871794874,1016.53,39
3,4,8189.840000000002,481.75529411764717,905.21,120.43882352941179,384.2499999999999,17
4,5,4429.400000000001,553.6750000000001,756.8299999999999,110.73500000000001,454.24,8
5,6,3722.38,744.476,1211.75,124.07933333333335,366.3200000000001,5
6,7,4756.77,951.354,1255.31,135.9077142857143,468.4699999999999,5
7,8,3637.5700000000006,1212.5233333333335,1288.5300000000002,151.5654166666667,302.9699999999999,3
8,11,2305.34,1152.67,1229.51,104.78818181818181,211.8100000000001,2
9,13,1420.31,1420.31,1420.31,109.25461538461538,204.85,1
