sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,4370.820000000103,2.7454899497488086,547.08,2.7454899497488086,547.08,1592
2,8731.440000000088,8.501888997078956,1166.16,4.250944498539478,1166.16,1027
3,12529.980000000058,18.870451807229003,858.69,6.290150602409667,789.15,664
4,13942.230000000045,31.1906711409397,883.7000000000002,7.797667785234925,539.34,447
5,20157.30000000003,61.832208588957144,1947.4,12.366441717791428,850.1300000000001,326
6,10049.930000000018,49.752128712871375,1168.71,8.29202145214523,342.99,202
7,15221.430000000018,88.49668604651174,894.0200000000002,12.642383720930248,491.96,172
8,12183.63000000001,99.05390243902447,1077.7400000000002,12.381737804878059,403.6200000000002,123
9,9354.470000000008,96.43783505154647,842.41,10.715315005727387,565.8899999999999,97
10,16077.340000000007,211.54394736842116,1358.88,21.154394736842118,642.81,76
11,11616.150000000005,196.88389830508484,961.8200000000004,17.898536209553168,483.9000000000001,59
12,17189.230000000003,277.2456451612904,1670.2900000000004,23.103803763440865,607.4300000000003,62
13,10367.410000000003,230.38688888888896,1271.23,17.722068376068385,459.3899999999999,45
14,13271.500000000002,315.9880952380953,1279.3100000000002,22.570578231292522,452.92999999999984,42
15,10178.760000000002,339.2920000000001,1540.3900000000003,22.61946666666667,893.2899999999997,30
16,10513.160000000003,339.1341935483872,1598.7300000000002,21.1958870967742,479.02,31
17,11377.130000000003,379.23766666666677,1444.9,22.30809803921569,586.3299999999999,30
18,5653.820000000002,256.9918181818183,1680.06,14.277323232323239,274.5799999999999,22
19,7586.790000000002,344.854090909091,1759.9600000000003,18.15021531100479,476.35,22
20,4862.120000000001,374.00923076923084,1485.2,18.70046153846154,658.0900000000001,13
21,6162.820000000002,385.17625000000015,1636.1100000000004,18.341726190476198,981.36,16
22,6300.790000000001,370.634705882353,1561.2200000000003,16.847032085561498,272.22,17
23,3923.790000000001,392.3790000000001,958.0500000000002,17.05995652173913,255.84000000000003,10
24,2960.920000000001,370.1150000000001,1085.0,15.421458333333339,190.92000000000007,8
25,3680.000000000001,736.0000000000002,1702.5300000000002,29.440000000000005,382.0899999999999,5
26,4330.550000000001,481.17222222222233,1297.3800000000003,18.506623931623935,373.52,9
27,177.26000000000005,88.63000000000002,177.26000000000005,3.2825925925925934,33.28999999999999,2
28,1410.8900000000006,352.72250000000014,821.9900000000002,12.597232142857148,240.42000000000007,4
29,4346.240000000001,620.8914285714287,1382.9700000000003,21.41004926108375,355.3299999999999,7
30,3273.460000000001,467.637142857143,2028.3800000000003,15.587904761904769,910.8,7
31,3866.9700000000003,966.7425000000001,1666.33,31.185241935483873,339.25999999999976,4
32,5602.310000000001,509.3009090909092,1416.8600000000001,15.915653409090913,577.8900000000001,11
33,862.3399999999996,172.4679999999999,560.55,5.226303030303027,76.68000000000029,5
34,1473.66,1473.66,1473.66,43.34294117647059,299.45000000000005,1
35,1617.6700000000003,539.2233333333335,1525.04,15.406380952380955,394.43,3
36,253.91000000000034,126.95500000000017,167.48000000000005,3.5265277777777824,28.789999999999992,2
38,2469.870000000001,617.4675000000002,1399.8200000000004,16.249144736842112,281.3499999999999,4
39,1980.1900000000007,495.0475000000002,1162.5200000000004,12.693525641025644,270.97,4
40,742.3200000000002,742.3200000000002,742.3200000000002,18.558000000000003,245.04,1
42,2057.2200000000003,1028.6100000000001,2048.17,24.49071428571429,400.3499999999999,2
47,496.0200000000002,496.0200000000002,496.0200000000002,10.553617021276601,272.34000000000015,1
49,53.26000000000067,26.630000000000337,45.25,0.5434693877551089,8.509999999999991,2
55,1136.3800000000008,568.1900000000004,886.0500000000002,10.33072727272728,665.2400000000002,2
58,76.38,76.38,76.38,1.3168965517241378,3.610000000000007,1
70,698.9100000000003,698.9100000000003,698.9100000000003,9.984428571428575,267.69000000000005,1
83,2058.44,2058.44,2058.44,24.800481927710845,270.47,1
