sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,32807.51000000036,8.850151065551756,1166.16,8.850151065551756,1166.16,3707
2,48356.86000000003,72.93644042232282,1004.7600000000004,36.46822021116141,665.2400000000002,663
3,43318.24000000002,135.7938557993731,1047.61,45.264618599791035,893.2899999999997,319
4,34718.72000000001,199.53287356321843,1149.04,49.88321839080461,586.3299999999999,174
5,35605.0,287.13709677419354,1947.4,57.42741935483872,850.1300000000001,124
6,24926.56,346.20222222222225,1792.46,57.70037037037038,910.8,72
7,16122.35,358.27444444444444,1277.4699999999998,51.18206349206349,494.6700000000001,45
8,8357.060000000001,321.42538461538464,1077.7400000000002,40.17817307692308,341.82000000000016,26
9,7265.660000000001,330.2572727272728,905.2500000000001,36.69525252525253,479.02,22
10,9613.300000000001,565.4882352941177,1394.08,56.54882352941178,459.3899999999999,17
11,5168.530000000001,369.1807142857143,1355.02,33.561883116883116,236.58999999999992,14
12,2384.8200000000006,397.4700000000001,1680.06,33.1225,274.5799999999999,6
13,3128.9300000000007,391.1162500000001,1598.7300000000002,30.085865384615392,306.30000000000007,8
14,1329.5099999999995,132.95099999999996,910.1800000000001,9.496499999999996,233.86,10
15,1795.4199999999998,598.4733333333332,1636.11,39.89822222222222,981.36,3
16,2067.64,295.3771428571428,1432.73,18.461071428571426,230.3900000000001,7
17,897.8100000000012,128.2585714285716,345.62,7.544621848739506,70.38,7
18,96.09000000000151,32.030000000000506,53.76000000000067,1.7794444444444724,38.5300000000002,3
19,205.5699999999997,41.11399999999994,118.5,2.163894736842102,27.05,5
20,5321.320000000001,665.1650000000001,1654.15,33.258250000000004,658.0900000000001,8
21,1935.1899999999996,967.5949999999998,1924.13,46.07595238095237,400.3499999999999,2
22,16.44000000000051,16.44000000000051,16.44000000000051,0.7472727272727504,2.369999999999891,1
23,40.63,40.63,40.63,1.7665217391304349,3.990000000000002,1
26,12.650000000000091,12.650000000000091,12.650000000000091,0.48653846153846503,0.8600000000001273,1
27,413.7700000000002,206.8850000000001,392.03,7.662407407407411,172.62000000000012,2
28,6.190000000000054,6.190000000000054,6.190000000000054,0.2210714285714305,0.5,1
30,86.42000000000007,86.42000000000007,86.42000000000007,2.880666666666669,22.0300000000002,1
35,83.10000000000036,83.10000000000036,83.10000000000036,2.3742857142857248,48.88999999999987,1
40,71.01000000000022,71.01000000000022,71.01000000000022,1.7752500000000055,46.80000000000064,1
42,246.98000000000025,246.98000000000025,246.98000000000025,5.880476190476196,76.05000000000018,1
45,396.7000000000003,396.7000000000003,396.7000000000003,8.815555555555562,272.34000000000015,1
55,72.86,72.86,72.86,1.3247272727272728,3.610000000000007,1
63,378.3699999999999,378.3699999999999,378.3699999999999,6.005873015873014,231.0,1
