sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,59571.37,27.32631651376147,813.1099999999999,27.32631651376147,813.1099999999999,2180
2,124307.43,84.33339891451831,1240.03,42.166699457259156,992.64,1474
3,111496.94,131.48224056603775,1146.75,43.82741352201258,601.74,848
4,89744.23,169.97013257575756,1739.6000000000001,42.49253314393939,1284.68,528
5,70866.27,233.8820792079208,1849.2599999999998,46.776415841584154,772.1400000000001,303
6,59941.01,302.73237373737373,1404.74,50.45539562289562,893.2899999999998,198
7,47501.340000000004,334.51647887323946,1265.5800000000002,47.78806841046278,572.6399999999999,142
8,28110.04,347.03753086419755,1620.0799999999997,43.379691358024694,459.5300000000001,81
9,34745.25,534.5423076923076,1931.35,59.39358974358974,560.1,65
10,14366.09,359.15225,1256.5900000000001,35.91522500000001,302.99,40
11,18975.96,512.8637837837838,1586.3199999999997,46.62398034398035,437.96,37
12,7816.75,339.85869565217394,1028.48,28.321557971014496,211.97000000000003,23
13,8078.59,384.6947619047619,1737.9399999999998,29.591904761904765,313.04999999999995,21
14,4790.799999999999,252.1473684210526,1067.42,18.010526315789473,425.93,19
15,3990.6,443.4,1335.9599999999998,29.560000000000002,200.20000000000005,9
16,6872.99,687.299,1888.6599999999999,42.9561875,236.58999999999992,10
17,1400.32,350.08,847.73,20.59294117647059,119.82999999999991,4
18,7004.16,1000.5942857142857,2155.07,55.58857142857143,409.18000000000006,7
19,3276.3199999999997,655.2639999999999,1189.01,34.48757894736842,146.71000000000004,5
20,2071.06,690.3533333333334,1021.11,34.51766666666666,145.0,3
21,2895.78,723.945,2046.5700000000002,34.47357142857143,268.8900000000001,4
22,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.010909090909090919,0.2400000000000002,1
23,3882.1800000000003,1294.0600000000002,2031.7700000000002,56.26347826086956,232.5,3
25,25.24,12.62,25.0,0.5048,10.23,2
27,688.39,688.39,688.39,25.495925925925924,85.84999999999997,1
28,683.3299999999999,683.3299999999999,683.3299999999999,24.404642857142854,65.41000000000003,1
36,810.81,810.81,810.81,22.522499999999997,298.24,1
37,2136.48,2136.48,2136.48,57.7427027027027,285.5,1
41,2.65,2.65,2.65,0.06463414634146342,0.52,1
