sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,22982.330000000155,11.287981335952924,587.6799999999998,11.287981335952924,587.6799999999998,2036
2,45243.12000000001,41.89177777777779,953.76,20.945888888888895,903.76,1080
3,47024.23000000001,69.7688872403561,556.97,23.256295746785366,343.3399999999997,674
4,53966.82000000001,116.81129870129871,1198.51,29.202824675324678,1145.58,462
5,50300.170000000006,177.11327464788735,1849.27,35.42265492957747,685.3599999999999,284
6,58362.450000000004,274.00211267605636,1404.7599999999998,45.667018779342726,802.4799999999998,213
7,49661.98,299.1685542168675,1757.37,42.738364888123925,816.6599999999999,166
8,36490.310000000005,344.24820754716984,1323.0700000000002,43.03102594339623,535.8700000000001,106
9,39975.08,439.28659340659345,1931.3700000000001,48.80962148962149,560.0999999999999,91
10,25038.22,463.67074074074077,1475.02,46.367074074074075,601.74,54
11,29737.680000000004,660.8373333333334,1586.34,60.07612121212122,849.67,45
12,21036.28,513.0799999999999,1307.5600000000002,42.75666666666667,454.2299999999999,41
13,19478.13,628.3267741935484,1755.85,48.33282878411911,456.21,31
14,10009.76,556.0977777777778,1287.19,39.721269841269844,360.4200000000002,18
15,4646.62,580.8275,1622.06,38.721833333333336,366.01,8
16,9636.28,1070.697777777778,1524.85,66.91861111111112,346.67999999999995,9
17,5422.46,677.8075,1056.17,39.87102941176471,401.58,8
18,6826.020000000001,853.2525000000002,2155.0900000000006,47.40291666666668,518.8700000000001,8
19,7289.17,1214.8616666666667,1515.9600000000003,63.94008771929825,321.1200000000001,6
20,3964.2200000000003,792.844,1021.13,39.6422,210.16000000000008,5
21,4598.2300000000005,919.6460000000001,2046.5900000000004,43.79266666666667,298.25,5
23,2020.4900000000005,2020.4900000000005,2020.4900000000005,87.84739130434785,232.5,1
24,3166.7400000000002,1583.3700000000001,1960.5900000000001,65.97375000000001,247.30999999999983,2
26,1363.74,1363.74,1363.74,52.45153846153846,313.9100000000001,1
27,1402.21,701.105,718.83,25.966851851851853,50.000000000000114,2
28,2830.86,1415.43,2147.52,50.551071428571426,319.29999999999995,2
29,1239.4399999999998,1239.4399999999998,1239.4399999999998,42.73931034482758,259.03,1
36,1894.03,1894.03,1894.03,52.61194444444445,146.71000000000004,1
37,2136.5000000000005,2136.5000000000005,2136.5000000000005,57.743243243243256,249.8900000000001,1
