sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,21797.350000000006,12.505651176133107,362.2299999999998,12.505651176133107,362.2299999999998,1743
2,37185.579999999994,35.180302743614,789.15,17.590151371807,739.15,1057
3,34871.76,55.97393258426967,530.5199999999998,18.657977528089887,241.90999999999983,623
4,36545.07,88.48685230024213,743.91,22.121713075060534,384.55999999999983,413
5,29677.670000000002,115.47731517509729,554.04,23.095463035019456,205.5,257
6,25513.24,156.52294478527608,1100.41,26.08715746421268,535.79,163
7,25823.16,197.12335877862594,945.28,28.160479825517996,580.8399999999999,131
8,26175.530000000002,259.16366336633666,1176.0500000000004,32.39545792079208,510.2800000000002,101
9,19785.49,314.0553968253968,1532.6,34.89504409171076,1042.1,63
10,19840.86,360.7429090909091,1106.1100000000001,36.07429090909091,382.4100000000001,55
11,14250.199999999999,385.1405405405405,1399.6200000000001,35.01277641277641,923.44,37
12,21249.0,452.1063829787234,1402.5,37.67553191489362,524.69,47
13,14423.84,480.79466666666667,1760.51,36.984205128205126,560.1,30
14,16290.57,509.0803125,1330.2400000000002,36.36287946428571,524.9099999999999,32
15,11804.0,621.2631578947369,1327.25,41.41754385964913,712.9699999999998,19
16,9911.54,583.0317647058824,1515.1900000000003,36.43948529411765,455.5899999999999,17
17,10779.05,829.1576923076923,1463.59,48.77398190045248,393.80000000000007,13
18,10752.32,896.0266666666666,1417.6899999999998,49.779259259259256,398.6299999999999,12
19,11745.92,903.5323076923077,2202.8200000000006,47.55433198380567,820.51,13
20,13608.82,972.0585714285714,1466.8899999999999,48.60292857142857,233.18999999999988,14
21,12838.470000000001,987.5746153846155,2138.8300000000004,47.027362637362636,1106.66,13
22,6841.459999999999,977.3514285714284,1435.97,44.42506493506493,355.1100000000001,7
23,8761.43,1460.2383333333335,1881.28,63.488623188405796,429.14,6
24,1094.8600000000001,1094.8600000000001,1094.8600000000001,45.61916666666667,174.16999999999996,1
25,4075.9,815.1800000000001,1567.47,32.6072,188.35,5
26,4746.860000000001,1186.7150000000001,1614.27,45.64288461538462,228.97000000000003,4
27,8050.239999999999,1150.0342857142855,1684.9699999999998,42.593862433862434,301.8599999999999,7
28,4921.0,1230.25,1340.9299999999998,43.93749999999999,65.19000000000005,4
29,6293.400000000001,1573.3500000000001,1961.8900000000003,54.25344827586207,313.04999999999995,4
30,1760.11,1760.11,1760.11,58.67033333333333,244.1199999999999,1
31,7436.549999999999,1859.1374999999998,2190.5499999999997,59.972177419354836,454.2299999999999,4
32,3663.34,1831.67,1986.29,57.2396875,170.69000000000003,2
33,6048.23,2016.0766666666666,2173.83,61.09323232323232,232.5,3
34,2199.59,2199.59,2199.59,64.69382352941177,222.80999999999997,1
35,2032.0299999999997,2032.0299999999997,2032.0299999999997,58.05799999999999,208.01,1
36,3776.0,1888.0,2144.7,52.44444444444444,285.5,2
37,3906.96,1953.48,1953.5100000000002,52.796756756756764,342.0,2
39,2089.8399999999997,2089.8399999999997,2089.8399999999997,53.58564102564102,174.17000000000007,1
41,2186.2300000000005,1093.1150000000002,2183.5800000000004,26.661341463414637,134.18000000000006,2
42,2053.8799999999997,2053.8799999999997,2053.8799999999997,48.90190476190475,84.54999999999973,1
