sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,22577.86,13.650459492140266,50.000000000000455,13.650459492140266,50.000000000000455,1654
2,40114.67,38.240867492850334,789.15,19.120433746425167,739.15,1049
3,40588.42,62.92778294573643,562.3799999999999,20.97592764857881,345.73,645
4,41300.89,93.86565909090909,738.0,23.466414772727273,378.6499999999999,440
5,36566.64,132.96959999999999,554.02,26.59392,380.7300000000001,275
6,33755.63,180.51139037433154,1264.27,30.08523172905526,1014.27,187
7,31101.53,235.6176515151515,1153.6500000000003,33.6596645021645,576.0900000000001,132
8,33595.13,319.95361904761904,1586.8799999999999,39.99420238095238,932.22,105
9,23549.69,331.6857746478873,980.8600000000001,36.853974960876364,335.6899999999998,71
10,19671.95,371.16886792452834,987.05,37.11688679245283,517.68,53
11,24955.13,489.3162745098039,1213.32,44.48329768270945,723.1600000000001,51
12,21100.149999999998,490.70116279069765,1843.0700000000002,40.89176356589147,741.29,43
13,29070.0,631.9565217391304,1441.3799999999999,48.61204013377927,599.95,46
14,21942.36,562.6246153846154,1594.71,40.18747252747253,680.9999999999999,39
15,17205.58,748.068695652174,1456.7799999999997,49.87124637681159,528.6899999999999,23
16,13556.32,797.4305882352941,2230.71,49.83941176470588,508.8800000000001,17
17,7277.259999999999,909.6574999999999,1977.3599999999997,53.50926470588235,1106.62,8
18,3603.71,720.742,1182.9900000000002,40.041222222222224,271.68000000000006,5
19,13072.96,1005.6123076923076,1832.43,52.92696356275303,406.0200000000002,13
20,6673.69,1112.2816666666665,1477.3199999999997,55.61408333333333,410.26,6
21,10023.12,1113.68,1957.3000000000002,53.032380952380954,662.4699999999998,9
22,8044.84,1340.8066666666666,1808.02,60.945757575757575,451.5200000000002,6
23,3763.3900000000003,1254.4633333333334,1881.28,54.541884057971025,455.19999999999993,3
24,6700.87,1340.174,1676.07,55.840583333333335,325.98,5
25,3447.45,689.49,2041.7999999999997,27.579599999999992,348.8399999999999,5
26,3108.81,1554.405,1745.49,59.784807692307695,197.65999999999983,2
27,3236.24,1618.12,1639.96,59.93037037037037,213.02,2
28,2688.22,1344.11,2004.8899999999999,48.003928571428574,290.73,2
29,4754.72,1584.9066666666668,1857.38,54.65195402298851,435.1399999999999,3
31,2206.82,2206.82,2206.82,71.18774193548387,260.31999999999994,1
32,6417.64,2139.2133333333336,2308.4300000000003,66.85041666666667,457.4000000000001,3
34,2161.17,2161.17,2161.17,63.56382352941176,428.53,1
35,1994.6400000000003,1994.6400000000003,1994.6400000000003,56.98971428571429,124.24,1
41,2.65,2.65,2.65,0.06463414634146342,0.52,1
