,方案1,方案2,方案3,方案4
减少的考核电量,836949.0,506396.0,869154.0,778022.0
原考核电量,1107605.0,1107605.0,1107605.0,1107605.0
后考核电量,270657.0,601210.0,238452.0,329584.0
原受考核点数量,8903.0,8903.0,8903.0,8903.0
原向上波动考核点数量,4466.0,4466.0,4466.0,4466.0
原向下波动考核点数量,4437.0,4437.0,4437.0,4437.0
优化后受考核点数量,3514.0,5264.0,3104.0,3232.0
优化后向上波动考核点数量,1713.0,2023.0,1566.0,1637.0
优化后向下波动考核点数量,1801.0,3241.0,1538.0,1595.0
原受考核点比例,1.0,1.0,1.0,1.0
原向上波动考核点比例,1.0,1.0,1.0,1.0
原向下波动考核点比例,1.0,1.0,1.0,1.0
优化后受考核点比例,1.0,1.0,1.0,1.0
优化后向上波动考核点比例,1.0,1.0,1.0,1.0
优化后向下波动考核点比例,1.0,1.0,1.0,1.0
原向上波动考核功率求和,535054.0,535054.0,535054.0,535054.0
原向下波动考核功率求和,-520099.0,-520099.0,-520099.0,-520099.0
后向上波动考核功率求和,238626.0,241557.0,132742.0,154610.0
后向下波动考核功率求和,-223022.0,-403159.0,-127076.0,-147373.0
