,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,53251.310000000085,67.57780456852802,1145.58,67.57780456852802,1145.58,788
1,2,44263.19,258.8490643274854,884.6400000000001,129.4245321637427,802.4799999999998,171
2,3,37234.490000000005,443.26773809523814,1510.9499999999998,147.75591269841271,816.6599999999999,84
3,4,41993.810000000005,646.0586153846155,1193.18,161.51465384615386,849.67,65
4,5,35607.61,913.015641025641,1849.27,182.6031282051282,772.1400000000001,39
5,6,13188.039999999999,942.0028571428571,1535.24,157.00047619047618,692.27,14
6,7,9067.41,1133.42625,1344.8200000000002,161.9180357142857,387.6100000000001,8
7,8,3828.9200000000005,1276.3066666666668,2001.3100000000002,159.53833333333336,518.8700000000001,3
8,9,1386.7400000000002,1386.7400000000002,1386.7400000000002,154.08222222222224,232.5,1
9,13,1735.31,1735.31,1735.31,133.48538461538462,319.29999999999995,1
