,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,56641.29000000013,60.97017222820251,691.4599999999998,60.97017222820251,691.4599999999998,929
1,2,36932.170000000006,269.57788321167885,1205.1699999999998,134.78894160583943,826.3300000000002,137
2,3,22095.790000000005,450.93448979591847,1565.9200000000005,150.31149659863948,983.33,49
3,4,8900.880000000001,523.5811764705883,1328.57,130.89529411764707,610.02,17
4,5,5400.12,675.015,1312.46,135.00300000000001,551.3800000000001,8
5,6,5160.860000000001,737.2657142857144,1211.75,122.87761904761906,384.2499999999999,7
6,7,3985.7100000000005,996.4275000000001,1255.31,142.34678571428572,468.4699999999999,4
7,8,4539.93,1134.9825,1294.74,141.8728125,350.6400000000001,4
8,11,2296.7400000000002,1148.3700000000001,1229.51,104.39727272727274,211.8100000000001,2
9,13,1420.31,1420.31,1420.31,109.25461538461538,204.85,1
